BuildingType,PrimaryPropertyType,ZipCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,ListOfAllPropertyUseTypes_list
NonResidential,Small- and Mid-Sized Office,98104,LAKE UNION,1957,1,2,0,21183,"Office, Parking",26,361542,361542,0,3,"['Office', 'Parking']"
NonResidential,Small- and Mid-Sized Office,98102,LAKE UNION,1961,1,3,3834,25558,"Office, Parking",26,755618,735889,19729,6,"['Office', 'Parking']"
NonResidential,Large Office,98102,LAKE UNION,1985,1,5,55504,82234,"Office, Other, Parking",57,4704936,4704936,0,33,"['Office', 'Other', 'Parking']"
NonResidential,Residence Hall,98103,LAKE UNION,1988,1,3,0,21118,Residence Hall/Dormitory,64,1361428,710939,650489,40,['Residence Hall/Dormitory']
NonResidential,Large Office,98103,LAKE UNION,2013,1,5,79284,126842,"Office, Other, Parking, Restaurant",32,4489661,3601473,887828,72,"['Office', 'Other', 'Parking', 'Restaurant']"
NonResidential,Small- and Mid-Sized Office,98103,LAKE UNION,1900,1,2,0,20500,Office,65,1326178,1282333,43845,11,['Office']
NonResidential,Senior Care Community,98117,BALLARD,1966,1,2,31000,3636,"Parking, Senior Care Community",338,12148720,3561375,8587344,481,"['Parking', 'Senior Care Community']"
NonResidential,Worship Facility,98115,NORTHEAST,1930,1,2,0,25521,Worship Facility,24,605186,361384,243802,15,['Worship Facility']
NonResidential,K-12 School,98115,NORTHEAST,1986,1,1,0,23190,K-12 School,74,1705515,486316,1219199,68,['K-12 School']
NonResidential,Small- and Mid-Sized Office,98103,NORTHWEST,1960,1,1,0,20678,Office,33,770333,179517,590816,33,['Office']
NonResidential,K-12 School,98103,NORTHWEST,1922,1,3,0,28820,K-12 School,77,2595784,680757,1915026,106,['K-12 School']
NonResidential,Worship Facility,98178,SOUTHEAST,1954,1,2,0,27876,Worship Facility,41,1829981,611581,1218400,69,['Worship Facility']
SPS-District K-12,K-12 School,98109,MAGNOLIA / QUEEN ANNE,1925,1,1,0,48789,K-12 School,27,1298308,857142,441165,29,['K-12 School']
SPS-District K-12,K-12 School,98118,SOUTHEAST,1925,1,1,0,33105,K-12 School,52,1725336,473807,1251530,70,['K-12 School']
NonResidential,Senior Care Community,98118,SOUTHEAST,1966,1,2,7233,41649,"Parking, Senior Care Community",162,6782435,2708255,4074180,235,"['Parking', 'Senior Care Community']"
NonResidential,Warehouse,98108,GREATER DUWAMISH,1977,1,1,0,22320,Non-Refrigerated Warehouse,20,439066,439066,0,3,['Non-Refrigerated Warehouse']
NonResidential,Other,98108,GREATER DUWAMISH,1976,1,1,0,47105,Manufacturing/Industrial Plant,226,10234721,4233850,6000871,348,['Manufacturing/Industrial Plant']
NonResidential,Small- and Mid-Sized Office,98108,GREATER DUWAMISH,1982,1,2,0,40029,"Non-Refrigerated Warehouse, Office",37,1471914,1471914,0,10,"['Non-Refrigerated Warehouse', 'Office']"
NonResidential,Small- and Mid-Sized Office,98108,GREATER DUWAMISH,1970,1,2,0,28304,Office,47,1269368,1269367,0,9,['Office']
NonResidential,Other,98108,GREATER DUWAMISH,1970,1,1,0,26400,"Non-Refrigerated Warehouse, Other - Recreation",16,452612,452612,0,3,"['Non-Refrigerated Warehouse', 'Other - Recreation']"
NonResidential,Warehouse,98108,GREATER DUWAMISH,1968,1,1,0,27680,"Non-Refrigerated Warehouse, Office",64,1778432,642420,1136012,65,"['Non-Refrigerated Warehouse', 'Office']"
NonResidential,Small- and Mid-Sized Office,98108,GREATER DUWAMISH,1969,1,2,0,25872,"Non-Refrigerated Warehouse, Office",69,1787119,1064725,722394,46,"['Non-Refrigerated Warehouse', 'Office']"
NonResidential,Small- and Mid-Sized Office,98108,GREATER DUWAMISH,1969,1,2,0,25872,Office,96,2399354,985457,1413896,82,['Office']
NonResidential,Warehouse,98108,GREATER DUWAMISH,1969,1,1,0,20500,Non-Refrigerated Warehouse,10,222600,222600,0,2,['Non-Refrigerated Warehouse']
NonResidential,Small- and Mid-Sized Office,98103,LAKE UNION,1958,1,2,0,21436,Office,25,534704,534704,0,4,['Office']
NonResidential,Mixed Use Property,98102,NORTHEAST,1998,1,1,0,20233,"Non-Refrigerated Warehouse, Office, Other",31,630250,331967,298283,18,"['Non-Refrigerated Warehouse', 'Office', 'Other']"
NonResidential,Small- and Mid-Sized Office,98103,LAKE UNION,2006,1,4,12400,27526,"Multifamily Housing, Office, Parking, Retail Store",37,1010968,849654,161314,14,"['Multifamily Housing', 'Office', 'Parking', 'Retail Store']"
NonResidential,Small- and Mid-Sized Office,98103,LAKE UNION,1985,1,3,8110,23307,"Office, Parking",43,1126157,687472,438685,28,"['Office', 'Parking']"
NonResidential,Self-Storage Facility,98101,DOWNTOWN,1928,1,6,0,46580,Self-Storage Facility,15,710275,710275,0,5,['Self-Storage Facility']
NonResidential,Retail Store,98101,DOWNTOWN,1916,1,2,0,25920,Retail Store,18,478690,478690,0,3,['Retail Store']
NonResidential,Retail Store,98121,DOWNTOWN,1919,1,2,0,25920,Retail Store,26,1011668,867448,144219,14,['Retail Store']
NonResidential,Hotel,98121,DOWNTOWN,1910,1,8,0,61721,Hotel,52,2897080,2534592,362488,37,['Hotel']
NonResidential,Small- and Mid-Sized Office,98121,DOWNTOWN,1919,1,2,0,25920,Office,75,1793851,1057542,736309,46,['Office']
NonResidential,Small- and Mid-Sized Office,98101,EAST,1925,1,4,0,39760,Office,62,2478960,512225,227114,150,['Office']
NonResidential,Other,98101,EAST,1920,1,3,0,30971,Other,91,2823184,1314572,1277622,95,['Other']
NonResidential,Small- and Mid-Sized Office,98101,EAST,1946,1,3,0,22667,Office,166,3767135,1972293,155501,149,['Office']
NonResidential,Warehouse,98103,LAKE UNION,1927,1,2,0,33840,"Non-Refrigerated Warehouse, Office, Retail Store",66,2227638,1244691,982947,61,"['Non-Refrigerated Warehouse', 'Office', 'Retail Store']"
NonResidential,Mixed Use Property,98103,LAKE UNION,2001,5,3,9226,32601,"Multifamily Housing, Office, Other - Mall, Parking, Restaurant",100,4193371,2439095,1754275,110,"['Multifamily Housing', 'Office', 'Other - Mall', 'Parking', 'Restaurant']"
NonResidential,Small- and Mid-Sized Office,98103,LAKE UNION,2001,1,5,6010,27730,"Office, Parking, Retail Store",52,1291405,1291405,0,9,"['Office', 'Parking', 'Retail Store']"
NonResidential,Retail Store,98103,LAKE UNION,1911,1,2,0,20516,"Hotel, Retail Store",56,1021797,264984,756812,42,"['Hotel', 'Retail Store']"
NonResidential,Retail Store,98103,LAKE UNION,1906,1,3,0,27480,"Office, Retail Store",39,1215156,1215156,0,8,"['Office', 'Retail Store']"
NonResidential,Mixed Use Property,98103,LAKE UNION,1947,1,1,0,46958,"Bank Branch, Bar/Nightclub, Office, Parking",39,1818868,1436548,382320,30,"['Bank Branch', 'Bar/Nightclub', 'Office', 'Parking']"
NonResidential,Distribution Center,98103,LAKE UNION,1984,1,1,0,26532,Distribution Center,73,1934224,784585,1149639,67,['Distribution Center']
NonResidential,Small- and Mid-Sized Office,98103,LAKE UNION,1981,1,2,0,22388,"Multifamily Housing, Office",26,576405,458439,117966,9,"['Multifamily Housing', 'Office']"
NonResidential,Other,98103,LAKE UNION,1969,1,1,0,30730,Other,99,3050455,1918002,1132453,74,['Other']
NonResidential,Small- and Mid-Sized Office,98107,LAKE UNION,1986,1,2,0,35600,"Office, Parking",59,2173144,2104103,69040,18,"['Office', 'Parking']"
NonResidential,Worship Facility,98119,MAGNOLIA / QUEEN ANNE,1949,1,3,0,62000,"Other, Worship Facility",29,1799664,286965,1512699,82,"['Other', 'Worship Facility']"
NonResidential,Small- and Mid-Sized Office,98109,MAGNOLIA / QUEEN ANNE,1981,1,2,0,23600,Office,33,776249,776249,0,5,['Office']
NonResidential,Small- and Mid-Sized Office,98109,MAGNOLIA / QUEEN ANNE,1986,1,3,0,40067,Office,58,2303733,2303732,0,16,['Office']
NonResidential,Small- and Mid-Sized Office,98109,MAGNOLIA / QUEEN ANNE,1989,1,3,6922,19497,Office,41,1074989,1074989,0,7,['Office']
NonResidential,Small- and Mid-Sized Office,98109,MAGNOLIA / QUEEN ANNE,1979,1,3,0,25262,Office,58,1469556,1174674,294882,24,['Office']
NonResidential,Other,98103,LAKE UNION,1996,1,3,0,53103,Other,126,4877959,4788878,89080,38,['Other']
NonResidential,Small- and Mid-Sized Office,98109,MAGNOLIA / QUEEN ANNE,1980,1,3,0,34106,Office,50,1619177,1619177,0,11,['Office']
NonResidential,Small- and Mid-Sized Office,98109,MAGNOLIA / QUEEN ANNE,1980,1,3,0,34545,Office,67,2313979,2313979,0,16,['Office']
NonResidential,Small- and Mid-Sized Office,98109,MAGNOLIA / QUEEN ANNE,1980,1,3,0,70296,Office,40,2782066,2782066,0,19,['Office']
NonResidential,Small- and Mid-Sized Office,98104,DOWNTOWN,1902,1,4,0,27838,Office,44,1217509,1217509,0,8,['Office']
NonResidential,Distribution Center,98106,DELRIDGE,1971,2,2,0,28368,"Distribution Center, Office",42,1856231,1486130,370100,30,"['Distribution Center', 'Office']"
NonResidential,Other,98133,NORTHWEST,1964,1,2,0,92080,Other,56,5155090,3179345,1975745,127,['Other']
NonResidential,Other,98133,NORTHWEST,1961,1,1,0,20236,Other - Recreation,97,1965182,1187424,777758,50,['Other - Recreation']
NonResidential,Small- and Mid-Sized Office,98133,NORTHWEST,1951,1,2,0,39815,"Non-Refrigerated Warehouse, Office",52,2050601,1488811,561790,40,"['Non-Refrigerated Warehouse', 'Office']"
Nonresidential COS,Other,98133,NORTHWEST,1970,1,4,0,25557,Residential Care Facility,89,2280352,2280352,0,16,['Residential Care Facility']
Nonresidential COS,Other,98133,NORTHWEST,1958,1,2,0,26994,"Office, Other - Services",114,3076813,881662,2195151,123,"['Office', 'Other - Services']"
NonResidential,Warehouse,98133,NORTHWEST,1972,1,1,0,48112,Non-Refrigerated Warehouse,31,1485946,1485946,0,10,['Non-Refrigerated Warehouse']
NonResidential,Other,98133,NORTHWEST,2009,1,1,0,20909,"Other - Public Services, Parking",63,1208029,678411,529618,33,"['Other - Public Services', 'Parking']"
NonResidential,Small- and Mid-Sized Office,98133,NORTHWEST,2001,1,2,16518,26275,"Office, Parking",67,1772188,1772188,0,12,"['Office', 'Parking']"
NonResidential,Other,98133,NORTHWEST,2007,1,2,0,45000,Other - Recreation,131,5912066,2973668,2938397,177,['Other - Recreation']
NonResidential,Retail Store,98133,NORTHWEST,1998,1,1,0,26115,Retail Store,65,1689373,1148350,541023,37,['Retail Store']
NonResidential,Worship Facility,98105,NORTHEAST,1949,1,1,0,26033,"Parking, Worship Facility",38,1149140,340323,808817,45,"['Parking', 'Worship Facility']"
NonResidential,K-12 School,98109,MAGNOLIA / QUEEN ANNE,2007,1,4,0,48660,K-12 School,38,1881516,822509,1059007,62,['K-12 School']
NonResidential,Senior Care Community,98109,MAGNOLIA / QUEEN ANNE,1970,1,2,0,46539,Senior Care Community,116,5400050,2306556,3093493,180,['Senior Care Community']
NonResidential,Residence Hall,98121,DOWNTOWN,1909,1,4,0,29796,Residence Hall/Dormitory,75,2233262,845812,1387450,80,['Residence Hall/Dormitory']
NonResidential,Retail Store,98121,DOWNTOWN,1920,1,2,0,26400,"Office, Parking, Retail Store",46,983596,761163,222433,17,"['Office', 'Parking', 'Retail Store']"
NonResidential,Small- and Mid-Sized Office,98121,DOWNTOWN,1918,1,3,0,38148,"Office, Retail Store",25,1262256,1262255,0,9,"['Office', 'Retail Store']"
NonResidential,Mixed Use Property,98109,LAKE UNION,1928,1,2,0,28800,"Non-Refrigerated Warehouse, Office",16,456953,249311,207642,13,"['Non-Refrigerated Warehouse', 'Office']"
NonResidential,Worship Facility,98119,MAGNOLIA / QUEEN ANNE,1955,1,5,0,31945,"Parking, Worship Facility",56,1806468,1806468,0,13,"['Parking', 'Worship Facility']"
NonResidential,Small- and Mid-Sized Office,98109,MAGNOLIA / QUEEN ANNE,1985,1,5,33055,52908,"Office, Parking",85,4480961,4480960,0,31,"['Office', 'Parking']"
NonResidential,Retail Store,98101,DOWNTOWN,1900,1,4,0,34680,Retail Store,34,1169949,774990,394959,26,['Retail Store']
NonResidential,Worship Facility,98101,DOWNTOWN,1968,1,3,34510,40548,Worship Facility,74,5587347,1057107,4530240,248,['Worship Facility']
NonResidential,Retail Store,98101,DOWNTOWN,1915,1,1,0,36504,Retail Store,130,2100983,1968493,132489,21,['Retail Store']
NonResidential,Small- and Mid-Sized Office,98101,DOWNTOWN,1907,1,6,0,35200,Office,85,2998208,2998208,0,21,['Office']
NonResidential,Small- and Mid-Sized Office,98101,DOWNTOWN,1907,1,5,0,35840,Office,43,1538751,723240,815511,48,['Office']
NonResidential,Other,98101,DOWNTOWN,1941,1,2,0,25920,Bank Branch,57,1333432,1333432,0,9,['Bank Branch']
NonResidential,Small- and Mid-Sized Office,98101,DOWNTOWN,1928,1,4,0,30525,"Office, Retail Store",133,2883139,2121106,0,74,"['Office', 'Retail Store']"
NonResidential,Other,98101,EAST,1964,1,4,0,49243,Other/Specialty Hospital,162,8476183,7560588,915594,101,['Other/Specialty Hospital']
NonResidential,Other,98104,EAST,1912,1,3,0,20411,Social/Meeting Hall,99,2014476,774943,1239533,71,['Social/Meeting Hall']
NonResidential,Medical Office,98122,EAST,1962,1,2,10285,20570,Medical Office,137,2946756,1537788,1408968,86,['Medical Office']
NonResidential,Small- and Mid-Sized Office,98122,EAST,1910,1,3,0,73549,"Office, Worship Facility",38,2828950,927581,1901370,107,"['Office', 'Worship Facility']"
NonResidential,Other,98122,EAST,1988,1,5,11400,34380,"Other - Education, Parking",237,10834087,5305454,55262,462,"['Other - Education', 'Parking']"
NonResidential,Medical Office,98114,EAST,1963,1,3,0,39115,Medical Office,75,3735308,2998320,736988,60,['Medical Office']
NonResidential,Other,98101,EAST,1916,1,3,0,38038,"Food Service, Office, Other - Entertainment/Public Assembly",30,1107291,425243,0,56,"['Food Service', 'Office', 'Other - Entertainment/Public Assembly']"
NonResidential,Worship Facility,98104,EAST,1962,1,3,0,37796,"Parking, Worship Facility",46,2465984,883838,202628,123,"['Parking', 'Worship Facility']"
Nonresidential COS,Small- and Mid-Sized Office,98107,BALLARD,1993,1,1,0,27744,"Data Center, Office, Other",193,5355753,5355752,0,37,"['Data Center', 'Office', 'Other']"
NonResidential,Warehouse,98107,BALLARD,1960,1,1,0,36444,Non-Refrigerated Warehouse,4,161311,161311,0,1,['Non-Refrigerated Warehouse']
NonResidential,Warehouse,98107,BALLARD,1950,1,1,0,27553,Non-Refrigerated Warehouse,35,966677,427592,539085,32,['Non-Refrigerated Warehouse']
NonResidential,Distribution Center,98107,BALLARD,1951,3,1,0,57310,Distribution Center,22,1253746,687408,566337,35,['Distribution Center']
NonResidential,Mixed Use Property,98109,LAKE UNION,1920,1,2,0,25920,"Office, Other, Other - Services, Residence Hall/Dormitory, Restaurant",38,989080,779325,209754,17,"['Office', 'Other', 'Other - Services', 'Residence Hall/Dormitory', 'Restaurant']"
NonResidential,Restaurant,98109,LAKE UNION,1919,1,3,0,40686,Restaurant,52,2106074,842032,1264041,73,['Restaurant']
NonResidential,Retail Store,98109,LAKE UNION,1964,1,2,0,45271,Retail Store,56,2553764,1146853,1406910,83,['Retail Store']
NonResidential,Small- and Mid-Sized Office,98109,LAKE UNION,1920,1,3,12180,16200,Office,48,1372213,804313,567900,36,['Office']
NonResidential,Small- and Mid-Sized Office,98109,LAKE UNION,1926,1,3,0,26176,Office,41,966907,417532,549375,32,['Office']
NonResidential,Small- and Mid-Sized Office,98109,LAKE UNION,1926,1,1,0,37740,"Office, Parking",199,7442314,6974197,468117,73,"['Office', 'Parking']"
Nonresidential COS,Other,98109,MAGNOLIA / QUEEN ANNE,1961,1,1,0,26000,Other,106,5277482,3179693,0,184,['Other']
NonResidential,Worship Facility,98109,MAGNOLIA / QUEEN ANNE,2009,1,3,0,23241,Worship Facility,32,739210,403459,335751,21,['Worship Facility']
NonResidential,Other,98109,MAGNOLIA / QUEEN ANNE,1962,1,1,0,155795,Other,113,17673018,14798552,2874465,256,['Other']
Nonresidential COS,Other,98109,MAGNOLIA / QUEEN ANNE,2002,1,1,0,21018,Other,84,1761138,1585357,0,25,['Other']
Nonresidential COS,Other,98109,MAGNOLIA / QUEEN ANNE,1998,1,1,0,30533,Museum,206,5903015,2630916,3272098,192,['Museum']
NonResidential,Other,98109,MAGNOLIA / QUEEN ANNE,1961,1,2,0,33971,Other - Recreation,354,17686444,9002735,8683709,524,['Other - Recreation']
Nonresidential COS,Other,98109,MAGNOLIA / QUEEN ANNE,1992,1,2,0,40600,Other,56,2485521,1509514,374537,41,['Other']
NonResidential,Small- and Mid-Sized Office,98109,LAKE UNION,1999,1,4,0,38038,"Office, Parking",53,2003808,2003807,0,14,"['Office', 'Parking']"
NonResidential,Small- and Mid-Sized Office,98109,LAKE UNION,2007,1,4,24596,40000,"Office, Parking",61,2524228,1219486,1304742,78,"['Office', 'Parking']"
NonResidential,Small- and Mid-Sized Office,98109,LAKE UNION,1928,1,3,6062,35404,"Laboratory, Office, Parking",228,9190442,5506689,3683752,234,"['Laboratory', 'Office', 'Parking']"
NonResidential,Large Office,98109,LAKE UNION,2013,1,6,100800,29910,"Bank Branch, Office, Parking, Restaurant",57,7429423,6677063,752359,87,"['Bank Branch', 'Office', 'Parking', 'Restaurant']"
NonResidential,Small- and Mid-Sized Office,98109,LAKE UNION,1926,1,4,0,35780,"Office, Parking, Retail Store",63,1912761,1912760,0,13,"['Office', 'Parking', 'Retail Store']"
NonResidential,Mixed Use Property,98109,MAGNOLIA / QUEEN ANNE,1964,1,4,7308,17824,"Office, Parking, Restaurant",56,564754,564754,0,4,"['Office', 'Parking', 'Restaurant']"
Nonresidential COS,Other,98109,DOWNTOWN,1966,1,1,0,49680,Other,57,2844685,1310105,0,119,['Other']
Nonresidential COS,Other,98109,DOWNTOWN,1962,1,1,0,36314,Other,50,1832809,1110431,391578,44,['Other']
NonResidential,Other,98101,DOWNTOWN,1916,1,2,0,25920,"Other - Entertainment/Public Assembly, Restaurant, Retail Store",62,1257775,1257774,0,9,"['Other - Entertainment/Public Assembly', 'Restaurant', 'Retail Store']"
NonResidential,Small- and Mid-Sized Office,98101,DOWNTOWN,1919,1,4,0,47686,"Office, Retail Store",61,2071670,1173976,0,77,"['Office', 'Retail Store']"
Campus,Mixed Use Property,98101,DOWNTOWN,1900,1,2,0,49280,"Food Sales, Office, Restaurant, Retail Store, Self-Storage Facility, Social/Meeting Hall",110,5437110,4128496,1308614,98,"['Food Sales', 'Office', 'Restaurant', 'Retail Store', 'Self-Storage Facility', 'Social/Meeting Hall']"
Campus,Low-Rise Multifamily,98101,DOWNTOWN,1942,1,4,0,45500,"Bar/Nightclub, Food Sales, Multifamily Housing, Restaurant, Retail Store, Self-Storage Facility",85,3778355,3778355,0,26,"['Bar/Nightclub', 'Food Sales', 'Multifamily Housing', 'Restaurant', 'Retail Store', 'Self-Storage Facility']"
Campus,Restaurant,98101,DOWNTOWN,1912,1,2,0,25380,"Food Sales, Office, Restaurant",272,6901554,3202277,3699277,219,"['Food Sales', 'Office', 'Restaurant']"
NonResidential,Small- and Mid-Sized Office,98101,DOWNTOWN,1915,1,6,0,40715,"Non-Refrigerated Warehouse, Office, Retail Store",70,2827773,2282146,545627,45,"['Non-Refrigerated Warehouse', 'Office', 'Retail Store']"
NonResidential,Mixed Use Property,98121,DOWNTOWN,1990,1,4,34800,47265,"Office, Parking, Retail Store",41,1717131,1717131,0,12,"['Office', 'Parking', 'Retail Store']"
NonResidential,Small- and Mid-Sized Office,98101,DOWNTOWN,1910,1,4,0,36160,Office,52,1862177,1862177,0,13,['Office']
NonResidential,Mixed Use Property,98101,DOWNTOWN,1918,1,1,0,34617,"Food Sales, Manufacturing/Industrial Plant, Office, Other - Entertainment/Public Assembly, Other - Restaurant/Bar, Restaurant, Retail Store, Self-Storage Facility",148,5136604,2805989,2330615,143,"['Food Sales', 'Manufacturing/Industrial Plant', 'Office', 'Other - Entertainment/Public Assembly', 'Other - Restaurant/Bar', 'Restaurant', 'Retail Store', 'Self-Storage Facility']"
NonResidential,Small- and Mid-Sized Office,98121,DOWNTOWN,1909,1,5,0,66900,Office,24,1634178,1574921,59257,14,['Office']
NonResidential,Mixed Use Property,98121,DOWNTOWN,1910,1,3,0,29340,"Multifamily Housing, Office, Restaurant",80,2160420,839832,1320588,76,"['Multifamily Housing', 'Office', 'Restaurant']"
NonResidential,Other,98121,DOWNTOWN,1930,1,2,0,22710,Food Service,13,287764,287763,0,2,['Food Service']
NonResidential,Small- and Mid-Sized Office,98102,LAKE UNION,2000,1,3,13540,36959,"Office, Parking",87,3205182,3202764,2418,22,"['Office', 'Parking']"
NonResidential,Small- and Mid-Sized Office,98104,LAKE UNION,1964,1,5,9605,44860,"Office, Parking",62,3600571,3251200,349371,41,"['Office', 'Parking']"
NonResidential,K-12 School,98102,EAST,1930,1,2,0,45960,K-12 School,91,4167254,834638,3332616,183,['K-12 School']
NonResidential,Small- and Mid-Sized Office,98109,LAKE UNION,1959,1,2,0,21128,Office,21,436604,436604,0,3,['Office']
NonResidential,Mixed Use Property,98109,LAKE UNION,2008,1,4,0,274442,"Hotel, Multifamily Housing, Parking, Retail Store",54,9155568,5764988,3390579,220,"['Hotel', 'Multifamily Housing', 'Parking', 'Retail Store']"
NonResidential,Small- and Mid-Sized Office,98109,LAKE UNION,2013,1,3,0,51552,"Data Center, Office",28,1539066,1539066,0,11,"['Data Center', 'Office']"
NonResidential,Hotel,98109,LAKE UNION,1959,1,4,0,38520,Hotel,73,2804534,1597279,1207255,75,['Hotel']
NonResidential,Hotel,98109,LAKE UNION,1961,1,3,4256,24930,Hotel,46,867184,343234,523951,30,['Hotel']
NonResidential,Worship Facility,98109,LAKE UNION,1960,1,1,0,27338,Worship Facility,21,581289,581289,0,4,['Worship Facility']
NonResidential,Other,98102,EAST,1999,1,2,65640,20110,"K-12 School, Parking",102,2045592,669413,1376179,78,"['K-12 School', 'Parking']"
NonResidential,Laboratory,98119,MAGNOLIA / QUEEN ANNE,1962,1,2,0,34416,"Laboratory, Office, Parking",349,12015936,4675400,7340535,422,"['Laboratory', 'Office', 'Parking']"
NonResidential,Small- and Mid-Sized Office,98119,MAGNOLIA / QUEEN ANNE,1930,1,3,0,45864,Office,56,2590622,480350,2110272,115,['Office']
NonResidential,K-12 School,98125,NORTHWEST,1999,1,2,0,49252,K-12 School,57,3485866,1738749,1747116,105,['K-12 School']
SPS-District K-12,K-12 School,98125,NORTH,1950,1,1,0,34005,K-12 School,20,991918,921835,70083,10,['K-12 School']
SPS-District K-12,K-12 School,98116,SOUTHWEST,1949,1,1,0,41221,K-12 School,37,2246748,1579221,667526,46,['K-12 School']
NonResidential,Small- and Mid-Sized Office,98102,LAKE UNION,1987,1,3,0,33176,"Office, Parking",43,1426280,862441,563838,36,"['Office', 'Parking']"
NonResidential,Retail Store,98102,LAKE UNION,1993,1,3,3764,21430,"Medical Office, Office, Retail Store",88,1878743,950029,928714,56,"['Medical Office', 'Office', 'Retail Store']"
SPS-District K-12,K-12 School,98118,SOUTHEAST,2000,1,2,0,75605,K-12 School,30,2274874,1520396,754477,51,['K-12 School']
SPS-District K-12,K-12 School,98118,SOUTHEAST,2008,1,2,0,29525,K-12 School,44,1297813,964739,333074,24,['K-12 School']
NonResidential,Worship Facility,98108,GREATER DUWAMISH,1977,1,1,0,21948,Worship Facility,15,326001,326001,0,2,['Worship Facility']
NonResidential,Other,98112,EAST,1927,1,3,0,31191,"Other - Recreation, Self-Storage Facility",188,5876439,3123654,2752785,168,"['Other - Recreation', 'Self-Storage Facility']"
NonResidential,Other,98125,NORTH,1947,1,1,0,37377,"Office, Repair Services (Vehicle, Shoe, Locksmith, etc), Retail Store",85,3040978,1078845,1962133,112,"['Office', 'Repair Services (Vehicle', 'Shoe', 'Locksmith', 'etc)', 'Retail Store']"
NonResidential,Warehouse,98108,GREATER DUWAMISH,1977,1,1,0,29380,"Non-Refrigerated Warehouse, Office, Other",29,856089,856089,0,6,"['Non-Refrigerated Warehouse', 'Office', 'Other']"
NonResidential,Worship Facility,98122,EAST,1922,1,2,0,22688,Worship Facility,15,331675,228628,103047,7,['Worship Facility']
NonResidential,Other,98118,SOUTHEAST,1962,1,2,0,22364,"Adult Education, Parking",66,1467030,508870,958160,54,"['Adult Education', 'Parking']"
NonResidential,Small- and Mid-Sized Office,98118,GREATER DUWAMISH,1982,1,2,0,41262,Office,47,1903456,1903455,0,13,['Office']
NonResidential,Small- and Mid-Sized Office,98109,LAKE UNION,1953,1,2,0,43183,"Data Center, Office",195,7408342,6523873,884468,92,"['Data Center', 'Office']"
NonResidential,Worship Facility,98115,NORTH,1908,1,3,0,45680,Worship Facility,46,2077039,509352,1567688,87,['Worship Facility']
NonResidential,Worship Facility,98106,SOUTHWEST,1957,1,1,0,23562,"Office, Worship Facility",16,531737,531737,0,4,"['Office', 'Worship Facility']"
NonResidential,Small- and Mid-Sized Office,98107,BALLARD,1999,1,4,0,28844,"Office, Other",44,910719,910718,0,6,"['Office', 'Other']"
SPS-District K-12,K-12 School,98126,DELRIDGE,1988,1,2,0,54528,K-12 School,36,1972079,1972078,0,14,['K-12 School']
NonResidential,Warehouse,98108,GREATER DUWAMISH,1989,1,1,0,21101,"Non-Refrigerated Warehouse, Office",32,675773,171716,504057,28,"['Non-Refrigerated Warehouse', 'Office']"
NonResidential,Refrigerated Warehouse,98108,GREATER DUWAMISH,1914,1,2,0,45594,Refrigerated Warehouse,30,1351268,1351268,0,9,['Refrigerated Warehouse']
NonResidential,Other,98108,GREATER DUWAMISH,1950,1,1,0,26660,Manufacturing/Industrial Plant,84,2241280,2241280,0,16,['Manufacturing/Industrial Plant']
NonResidential,Warehouse,98108,GREATER DUWAMISH,1975,1,1,0,28126,"Non-Refrigerated Warehouse, Office",31,870626,598370,272256,19,"['Non-Refrigerated Warehouse', 'Office']"
NonResidential,Warehouse,98108,GREATER DUWAMISH,1964,1,1,0,35000,Non-Refrigerated Warehouse,11,378714,378714,0,3,['Non-Refrigerated Warehouse']
NonResidential,Warehouse,98108,GREATER DUWAMISH,1962,1,1,0,26150,Non-Refrigerated Warehouse,46,1208408,815508,392900,27,['Non-Refrigerated Warehouse']
NonResidential,Small- and Mid-Sized Office,98108,GREATER DUWAMISH,1967,1,2,0,24000,Office,45,1088556,1088556,0,8,['Office']
NonResidential,K-12 School,98102,EAST,1968,1,5,0,43594,K-12 School,61,2478046,1264732,1213313,73,['K-12 School']
NonResidential,Distribution Center,98103,LAKE UNION,1912,1,1,0,28080,"Distribution Center, Office",28,794725,513012,281713,19,"['Distribution Center', 'Office']"
NonResidential,Senior Care Community,98133,NORTHWEST,1954,1,2,0,51298,Senior Care Community,110,5655578,2094607,3560971,204,['Senior Care Community']
NonResidential,Worship Facility,98133,NORTHWEST,1962,1,1,0,22047,"Parking, Worship Facility",12,265775,265775,0,2,"['Parking', 'Worship Facility']"
NonResidential,Warehouse,98108,GREATER DUWAMISH,1979,1,1,0,31600,Non-Refrigerated Warehouse,106,3363536,1633306,1730229,103,['Non-Refrigerated Warehouse']
NonResidential,Warehouse,98108,GREATER DUWAMISH,2007,1,1,0,35289,Non-Refrigerated Warehouse,25,876425,490823,385602,24,['Non-Refrigerated Warehouse']
NonResidential,Warehouse,98108,GREATER DUWAMISH,1981,1,1,0,28920,Non-Refrigerated Warehouse,58,1750419,279044,1471375,80,['Non-Refrigerated Warehouse']
