BuildingType,PrimaryPropertyType,ZipCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,ListOfAllPropertyUseTypes_list
NonResidential,Other,98115,NORTHEAST,1929,1,2,0,206934,"Other, Parking",36,4253578,2001103,2252474,134,"['Other', 'Parking']"
NonResidential,Hotel,98133,NORTHWEST,2001,1,4,0,51390,"Hotel, Parking",70,3611538,1398289,2213249,127,"['Hotel', 'Parking']"
SPS-District K-12,K-12 School,98133,NORTHWEST,1963,1,2,0,131013,K-12 School,30,3894584,1775488,2119097,125,['K-12 School']
SPS-District K-12,K-12 School,98133,NORTHWEST,1959,1,1,0,245587,K-12 School,48,11765682,3926011,7839670,444,['K-12 School']
NonResidential,Hotel,98133,NORTHWEST,2002,1,3,0,69138,Hotel,46,3242458,1802889,1439568,89,['Hotel']
NonResidential,Hotel,98104,DOWNTOWN,1904,1,5,0,190980,"Hotel, Parking",34,6505995,4402910,2103084,142,"['Hotel', 'Parking']"
Nonresidential COS,Other,98111,DOWNTOWN,1998,1,6,0,284100,Other - Entertainment/Public Assembly,77,14641502,9803021,527343,429,['Other - Entertainment/Public Assembly']
NonResidential,Hospital,98107,BALLARD,1954,4,5,0,285333,"Hospital (General Medical & Surgical), Parking",225,68090728,35237205,32853512,1990,"['Hospital (General Medical & Surgical)', 'Parking']"
SPS-District K-12,K-12 School,98107,BALLARD,1991,1,2,0,55513,K-12 School,26,1513571,1513571,0,11,['K-12 School']
Nonresidential COS,Other,98104,DOWNTOWN,2006,1,4,0,61156,"Office, Other",130,9363374,6947270,2416104,177,"['Office', 'Other']"
NonResidential,Other,98104,DOWNTOWN,1910,1,4,13820,59000,Museum,35,2010455,1311669,698785,46,['Museum']
NonResidential,Hotel,98109,MAGNOLIA / QUEEN ANNE,1996,1,4,14200,148022,"Hotel, Parking",70,7946961,4197462,3749499,228,"['Hotel', 'Parking']"
SPS-District K-12,K-12 School,98144,SOUTHEAST,1990,1,4,0,289588,K-12 School,30,8819852,6449764,2370086,171,['K-12 School']
NonResidential,University,98122,EAST,1915,1,3,0,63330,College/University,47,3059758,1911064,1148694,74,['College/University']
NonResidential,Small- and Mid-Sized Office,98115,NORTHEAST,2002,1,2,0,96300,"Data Center, Office",168,16319835,13973696,2346137,222,"['Data Center', 'Office']"
Nonresidential COS,Other,98134,GREATER DUWAMISH,1950,1,1,0,67356,"Repair Services (Vehicle, Shoe, Locksmith, etc)",109,7475578,4182001,3293576,204,"['Repair Services (Vehicle', 'Shoe', 'Locksmith', 'etc)']"
SPS-District K-12,K-12 School,98122,CENTRAL,2008,1,3,0,254523,K-12 School,53,13567774,7835065,5732708,359,['K-12 School']
SPS-District K-12,K-12 School,98118,SOUTHEAST,2001,1,3,0,78804,K-12 School,32,2499140,1645214,853926,57,['K-12 School']
SPS-District K-12,K-12 School,98122,CENTRAL,2002,1,3,0,66994,K-12 School,35,2371304,1824845,546459,42,['K-12 School']
SPS-District K-12,K-12 School,98118,GREATER DUWAMISH,2000,1,3,0,98357,K-12 School,35,3456132,1927067,1529064,95,['K-12 School']
NonResidential,Small- and Mid-Sized Office,98118,GREATER DUWAMISH,1958,1,1,0,54765,"Office, Other",84,4253370,3569337,684032,61,"['Office', 'Other']"
NonResidential,Other,98118,GREATER DUWAMISH,2009,1,5,0,89821,"Food Service, Office, Other - Lodging/Residential",22,1950092,67462,1882631,100,"['Food Service', 'Office', 'Other - Lodging/Residential']"
NonResidential,University,98119,MAGNOLIA / QUEEN ANNE,1980,1,2,0,52611,College/University,78,4116872,2479273,1637598,104,['College/University']
NonResidential,Residence Hall,98119,MAGNOLIA / QUEEN ANNE,2001,1,4,37500,102100,Residence Hall/Dormitory,33,4448582,2316298,2132284,129,['Residence Hall/Dormitory']
SPS-District K-12,K-12 School,98125,NORTH,2011,1,2,0,236758,"K-12 School, Parking",35,8355988,4789948,3566039,223,"['K-12 School', 'Parking']"
NonResidential,Other,98122,CENTRAL,1971,3,6,0,250981,"Courthouse, Other",60,13071700,8155002,580172,422,"['Courthouse', 'Other']"
SPS-District K-12,K-12 School,98117,NORTHWEST,2002,1,3,0,62526,K-12 School,32,1986095,1114389,871706,54,['K-12 School']
NonResidential,Other,98101,DOWNTOWN,2004,1,11,68432,230638,Other,261,65336980,30651644,34685331,2056,['Other']
NonResidential,Small- and Mid-Sized Office,98108,GREATER DUWAMISH,2007,1,3,0,64015,"Non-Refrigerated Warehouse, Office, Other - Services",60,3242078,2657382,584696,50,"['Non-Refrigerated Warehouse', 'Office', 'Other - Services']"
NonResidential,Other,98125,NORTH,1964,1,3,0,54224,Other/Specialty Hospital,154,7265178,3344827,3920350,232,['Other/Specialty Hospital']
NonResidential,Retail Store,98125,NORTH,1965,1,4,0,124342,Retail Store,72,8765978,8653621,112356,66,['Retail Store']
NonResidential,Other,98133,NORTHWEST,1996,1,3,0,55442,"Financial Office, Medical Office, Parking",86,3191228,1859345,1331883,84,"['Financial Office', 'Medical Office', 'Parking']"
SPS-District K-12,K-12 School,98117,BALLARD,1999,1,2,0,242795,K-12 School,38,9157150,7859464,1297685,124,['K-12 School']
