PrimaryPropertyType,ZipCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,z_SiteEnergyUse(kBtu),z_TotalGHGEmissions
Small- and Mid-Sized Office,98101,DOWNTOWN,1910,1,4,0,36160,Office,52,1862177,1862177,0,13,-0.4070062435812116,-0.7538610178213158
Mixed Use Property,98101,DOWNTOWN,1918,1,1,0,34617,"Food Sales, Manufacturing/Industrial Plant, Office, Other - Entertainment/Public Assembly, Other - Restaurant/Bar, Restaurant, Retail Store, Self-Storage Facility",148,5136604,2805989,2330615,143,0.9460663949314585,1.3320465402854946
Small- and Mid-Sized Office,98121,DOWNTOWN,1909,1,5,0,66900,Office,24,1634178,1574921,59257,14,-0.50122095916603,-0.737815575066648
Mixed Use Property,98121,DOWNTOWN,1910,1,3,0,29340,"Multifamily Housing, Office, Restaurant",80,2160420,839832,1320588,76,-0.2837650038382171,0.25700187572275385
Other,98121,DOWNTOWN,1930,1,2,0,22710,Food Service,13,287764,287763,0,2,-1.0575918733780123,-0.9303608881226613
Small- and Mid-Sized Office,98102,LAKE UNION,2000,1,3,13540,36959,"Office, Parking",87,3205182,3202764,2418,22,0.14795598916537533,-0.6094520330293058
Small- and Mid-Sized Office,98104,LAKE UNION,1964,1,5,9605,44860,"Office, Parking",62,3600571,3251200,349371,41,0.31134031181751753,-0.30458862069061815
K-12 School,98102,EAST,1930,1,2,0,45960,K-12 School,91,4167254,834638,3332616,183,0.5455074690057142,1.9738642504722055
Small- and Mid-Sized Office,98109,LAKE UNION,1959,1,2,0,21128,Office,21,436604,436604,0,3,-0.9960875761326543,-0.9143154453679935
Mixed Use Property,98109,LAKE UNION,2008,1,4,0,274442,"Hotel, Multifamily Housing, Parking, Retail Store",54,9155568,5764988,3390579,220,2.6067997762428865,2.567545632394913
Small- and Mid-Sized Office,98109,LAKE UNION,2013,1,3,0,51552,"Data Center, Office",28,1539066,1539066,0,11,-0.5405235439523811,-0.7859519033306512
Hotel,98109,LAKE UNION,1959,1,4,0,38520,Hotel,73,2804534,1597279,1207255,75,-0.0176014798131129,0.2409564329680861
Hotel,98109,LAKE UNION,1961,1,3,4256,24930,Hotel,46,867184,343234,523951,30,-0.8181614789282318,-0.4810884909919636
Worship Facility,98109,LAKE UNION,1960,1,1,0,27338,Worship Facility,21,581289,581289,0,4,-0.9363002256425668,-0.8982700026133257
Other,98102,EAST,1999,1,2,65640,20110,"K-12 School, Parking",102,2045592,669413,1376179,78,-0.33121471792105756,0.28909276123208943
Small- and Mid-Sized Office,98119,MAGNOLIA / QUEEN ANNE,1930,1,3,0,45864,Office,56,2590622,480350,2110272,115,-0.10599510539997811,0.882774143154797
K-12 School,98125,NORTHWEST,1999,1,2,0,49252,K-12 School,57,3485866,1738749,1747116,105,0.26394142431732415,0.7223197156081193
K-12 School,98125,NORTH,1950,1,1,0,34005,K-12 School,20,991918,921835,70083,10,-0.7666183654331868,-0.801997346085319
K-12 School,98116,SOUTHWEST,1949,1,1,0,41221,K-12 School,37,2246748,1579221,667526,46,-0.24809218085651016,-0.22436140691727927
Small- and Mid-Sized Office,98102,LAKE UNION,1987,1,3,0,33176,"Office, Parking",43,1426280,862441,563838,36,-0.5871294541184315,-0.384815834463957
Retail Store,98102,LAKE UNION,1993,1,3,3764,21430,"Medical Office, Office, Retail Store",88,1878743,950029,928714,56,-0.4001607706695844,-0.06390697937060157
K-12 School,98118,SOUTHEAST,2000,1,2,0,75605,K-12 School,30,2274874,1520396,754477,51,-0.23646983562456353,-0.1441341931439404
K-12 School,98118,SOUTHEAST,2008,1,2,0,29525,K-12 School,44,1297813,964739,333074,24,-0.6402151337356004,-0.5773611475199703
Worship Facility,98108,GREATER DUWAMISH,1977,1,1,0,21948,Worship Facility,15,326001,326001,0,2,-1.0417914177627827,-0.9303608881226613
Other,98112,EAST,1927,1,3,0,31191,"Other - Recreation, Self-Storage Facility",188,5876439,3123654,2752785,168,1.2517841573106538,1.733182609152189
Other,98125,NORTH,1947,1,1,0,37377,"Office, Repair Services (Vehicle, Shoe, Locksmith, etc), Retail Store",85,3040978,1078845,1962133,112,0.0801029145558835,0.8346378148907937
Warehouse,98108,GREATER DUWAMISH,1977,1,1,0,29380,"Non-Refrigerated Warehouse, Office, Other",29,856089,856089,0,6,-0.8227462019726905,-0.8661791171039902
Worship Facility,98122,EAST,1922,1,2,0,22688,Worship Facility,15,331675,228628,103047,7,-1.0394467833730343,-0.8501336743493224
Other,98118,SOUTHEAST,1962,1,2,0,22364,"Adult Education, Parking",66,1467030,508870,958160,54,-0.5702905659650566,-0.09599786487993711
Small- and Mid-Sized Office,98118,GREATER DUWAMISH,1982,1,2,0,41262,Office,47,1903456,1903455,0,13,-0.38994875980002963,-0.7538610178213158
Small- and Mid-Sized Office,98109,LAKE UNION,1953,1,2,0,43183,"Data Center, Office",195,7408342,6523873,884468,92,1.8848036242755535,0.5137289597974383
Worship Facility,98115,NORTH,1908,1,3,0,45680,Worship Facility,46,2077039,509352,1567688,87,-0.318220054957642,0.43350174602409935
Worship Facility,98106,SOUTHWEST,1957,1,1,0,23562,"Office, Worship Facility",16,531737,531737,0,4,-0.9567763136370708,-0.8982700026133257
Small- and Mid-Sized Office,98107,BALLARD,1999,1,4,0,28844,"Office, Other",44,910719,910718,0,6,-0.800171761240939,-0.8661791171039902
K-12 School,98126,DELRIDGE,1988,1,2,0,54528,K-12 School,36,1972079,1972078,0,14,-0.3615920721497461,-0.737815575066648
Warehouse,98108,GREATER DUWAMISH,1989,1,1,0,21101,"Non-Refrigerated Warehouse, Office",32,675773,171716,504057,28,-0.8972571456846898,-0.5131793765012992
Refrigerated Warehouse,98108,GREATER DUWAMISH,1914,1,2,0,45594,Refrigerated Warehouse,30,1351268,1351268,0,9,-0.6181262314966148,-0.8180427888399868
Other,98108,GREATER DUWAMISH,1950,1,1,0,26660,Manufacturing/Industrial Plant,84,2241280,2241280,0,16,-0.25035169105093114,-0.7057246895573124
Warehouse,98108,GREATER DUWAMISH,1975,1,1,0,28126,"Non-Refrigerated Warehouse, Office",31,870626,598370,272256,19,-0.8167391610626142,-0.6575883612933091
Warehouse,98108,GREATER DUWAMISH,1964,1,1,0,35000,Non-Refrigerated Warehouse,11,378714,378714,0,3,-1.0200091279166759,-0.9143154453679935
Warehouse,98108,GREATER DUWAMISH,1962,1,1,0,26150,Non-Refrigerated Warehouse,46,1208408,815508,392900,27,-0.6771594477319806,-0.529224819255967
Small- and Mid-Sized Office,98108,GREATER DUWAMISH,1967,1,2,0,24000,Office,45,1088556,1088556,0,8,-0.7266852004426138,-0.8340882315946546
K-12 School,98102,EAST,1968,1,5,0,43594,K-12 School,61,2478046,1264732,1213313,73,-0.1525142384737044,0.20886554745875055
Distribution Center,98103,LAKE UNION,1912,1,1,0,28080,"Distribution Center, Office",28,794725,513012,281713,19,-0.8481032947983029,-0.6575883612933091
Senior Care Community,98133,NORTHWEST,1954,1,2,0,51298,Senior Care Community,110,5655578,2094607,3560971,204,1.1605190364163578,2.3108185483202286
Worship Facility,98133,NORTHWEST,1962,1,1,0,22047,"Parking, Worship Facility",12,265775,265775,0,2,-1.0666782613928483,-0.9303608881226613
Warehouse,98108,GREATER DUWAMISH,1979,1,1,0,31600,Non-Refrigerated Warehouse,106,3363536,1633306,1730229,103,0.21339170191726606,0.6902288300987837
Warehouse,98108,GREATER DUWAMISH,2007,1,1,0,35289,Non-Refrigerated Warehouse,25,876425,490823,385602,24,-0.8143428736417204,-0.5773611475199703
Warehouse,98108,GREATER DUWAMISH,1981,1,1,0,28920,Non-Refrigerated Warehouse,58,1750419,279044,1471375,80,-0.45318735921912295,0.32118364674142497
Warehouse,98108,GREATER DUWAMISH,1978,1,1,0,22176,Non-Refrigerated Warehouse,33,736429,137469,598959,33,-0.8721926156274846,-0.43295216272796033
Warehouse,98108,GREATER DUWAMISH,1978,1,1,0,31300,Non-Refrigerated Warehouse,12,362874,220913,141961,9,-1.0265546000234111,-0.8180427888399868
Warehouse,98108,GREATER DUWAMISH,1979,1,1,0,22000,"Non-Refrigerated Warehouse, Parking",32,700628,700628,0,5,-0.886986456971754,-0.8822245598586579
Small- and Mid-Sized Office,98125,NORTH,1974,1,3,0,39927,"Office, Parking",90,3568420,3568419,0,25,0.2980547389826915,-0.5613157047653025
Other,98115,NORTH,1979,1,1,0,30610,"Office, Other - Recreation",140,4294550,1999987,2294563,136,0.5981092630271136,1.2197284410028202
Medical Office,98115,NORTH,1980,1,2,6350,20580,Medical Office,37,1002995,1002995,0,7,-0.762041080425213,-0.8501336743493224
Medical Office,98115,NORTH,1968,1,2,0,38745,"Medical Office, Parking",44,2890379,2251578,638800,50,0.017871755856248537,-0.1601796358986082
Self-Storage Facility,98105,NORTHEAST,1959,1,2,0,20296,Self-Storage Facility,42,855665,855665,0,6,-0.8229214090543355,-0.8661791171039902
Mixed Use Property,98105,NORTHEAST,1945,1,2,0,22135,"Medical Office, Non-Refrigerated Warehouse, Office, Retail Store",55,1261634,858099,403535,27,-0.6551651738460532,-0.529224819255967
Medical Office,98105,NORTHEAST,1967,1,3,0,38378,"Medical Office, Parking",47,1645605,729620,915985,54,-0.4964990456708493,-0.09599786487993711
Warehouse,98105,NORTHEAST,1980,1,2,0,33576,Non-Refrigerated Warehouse,38,1275232,390124,885108,50,-0.6495461505059406,-0.1601796358986082
Supermarket / Grocery Store,98105,NORTHEAST,1975,1,1,0,33005,"Parking, Supermarket/Grocery Store",304,10642754,7359683,3283070,226,3.221341094457983,2.66381828892292
Other,98104,EAST,1981,1,1,0,20971,"Bank Branch, Medical Office, Parking, Retail Store",33,729397,729397,0,5,-0.8750984085475958,-0.8822245598586579
Small- and Mid-Sized Office,98199,MAGNOLIA / QUEEN ANNE,1927,1,3,0,23910,"Office, Retail Store",36,873577,678167,195410,15,-0.8155197363033354,-0.7217701323119802
Worship Facility,98107,BALLARD,1910,1,2,0,21765,Worship Facility,20,431390,119922,311468,17,-0.998242127367788,-0.6896792468026447
Worship Facility,98122,CENTRAL,1901,1,2,0,26560,Worship Facility,66,1751484,609983,1141501,65,-0.4527472753937648,0.08050200542140838
Warehouse,98103,LAKE UNION,1957,1,2,0,20140,Non-Refrigerated Warehouse,6,116487,116487,0,1,-1.128367683101831,-0.9464063308773291
Retail Store,98118,GREATER DUWAMISH,1992,1,2,0,38845,"Parking, Retail Store",178,6917280,3290526,3626753,216,1.6818848980332797,2.503363861376242
Supermarket / Grocery Store,98118,GREATER DUWAMISH,1953,1,1,0,26092,"Parking, Supermarket/Grocery Store",294,7619445,5004995,2614450,174,1.972036502946521,1.8294552656801955
K-12 School,98125,NORTH,1955,1,1,0,38582,K-12 School,46,1848878,729477,1119402,65,-0.41250171287082477,0.08050200542140838
Small- and Mid-Sized Office,98108,GREATER DUWAMISH,1967,1,1,0,25500,Office,48,1213870,198748,1015122,55,-0.6749024168830545,-0.07995242212526933
Warehouse,98108,GREATER DUWAMISH,1961,1,1,0,41895,"Non-Refrigerated Warehouse, Office",31,1242312,886222,356089,25,-0.6631494927883725,-0.5613157047653025
Retail Store,98108,GREATER DUWAMISH,1958,1,2,0,56193,Retail Store,44,2497943,1858950,638992,47,-0.1442923155881166,-0.2083159641626115
K-12 School,98107,BALLARD,1922,1,3,0,35448,K-12 School,39,1379932,280549,1099383,60,-0.6062815716186187,0.00027479164806952494
Supermarket / Grocery Store,98107,BALLARD,1966,1,1,0,29214,Supermarket/Grocery Store,320,9336239,6227281,3108958,209,2.6814574145633383,2.3910457620935675
Other,98125,BALLARD,1961,1,1,0,32000,"Office, Other - Recreation",38,1331122,548631,782491,45,-0.626451047220244,-0.24040684967194706
Mixed Use Property,98107,BALLARD,1910,1,2,0,31140,"Non-Refrigerated Warehouse, Other, Retail Store",30,935580,234613,700967,39,-0.7898985931825082,-0.3366795061999537
Warehouse,98107,BALLARD,1975,1,3,0,41478,"Non-Refrigerated Warehouse, Office",73,3035962,1799383,1236579,78,0.07803018172208401,0.28909276123208943
Warehouse,98107,BALLARD,1980,1,1,0,39840,Non-Refrigerated Warehouse,19,752104,752104,0,5,-0.8657153255218611,-0.8822245598586579
Other,98107,BALLARD,2004,1,1,15576,15000,"Library, Other - Services",85,1533246,930038,603208,39,-0.5429285090825073,-0.3366795061999537
Other,98107,BALLARD,1924,1,2,0,21528,Social/Meeting Hall,14,306911,209914,96997,7,-1.0496798686792963,-0.8501336743493224
Other,98107,BALLARD,1928,1,2,0,30000,"Parking, Strip Mall",42,1094941,975561,119380,13,-0.7240467636117107,-0.7538610178213158
Other,98107,BALLARD,1942,1,2,0,30087,Other,173,5274642,5274641,0,37,1.0031070438373624,-0.3687703917092892
Worship Facility,98107,BALLARD,1975,1,1,0,40445,Worship Facility,19,786254,271219,515035,29,-0.8516037174129591,-0.4971339337466314
Retail Store,98107,BALLARD,1996,1,1,0,23500,Retail Store,48,1137968,1021883,116084,13,-0.7062669638429925,-0.7538610178213158
Retail Store,98134,BALLARD,1967,1,1,0,22420,Retail Store,61,1404254,927422,476832,32,-0.5962311314304864,-0.44899760548262807
Supermarket / Grocery Store,98119,MAGNOLIA / QUEEN ANNE,1961,1,1,0,25842,Supermarket/Grocery Store,328,8518313,4656997,3861316,238,2.3434705573427883,2.856363601978933
Small- and Mid-Sized Office,98119,MAGNOLIA / QUEEN ANNE,1992,1,3,0,26389,"Fitness Center/Health Club/Gym, Office",46,1208035,1208035,0,8,-0.6773135803769182,-0.8340882315946546
Small- and Mid-Sized Office,98119,MAGNOLIA / QUEEN ANNE,1982,1,3,0,25859,"Office, Parking",33,858781,665707,193073,15,-0.8216338022939449,-0.7217701323119802
Warehouse,98199,MAGNOLIA / QUEEN ANNE,1974,1,1,0,25600,"Non-Refrigerated Warehouse, Office",68,1730601,1249609,480992,34,-0.4613766373890269,-0.41690671997329254
Other,98199,MAGNOLIA / QUEEN ANNE,1965,1,1,0,23169,Manufacturing/Industrial Plant,22,222256,222256,0,2,-1.0846613674921544,-0.9303608881226613
Small- and Mid-Sized Office,98199,MAGNOLIA / QUEEN ANNE,2008,1,4,8399,33385,"Office, Parking",39,1294615,1294615,0,9,-0.6415366248844223,-0.8180427888399868
Warehouse,98199,MAGNOLIA / QUEEN ANNE,1960,1,1,0,56884,Non-Refrigerated Warehouse,24,1388345,785464,602881,37,-0.6028051160104139,-0.3687703917092892
Retail Store,98117,BALLARD,1989,1,1,0,32810,Retail Store,62,2017968,1316268,701700,46,-0.3426296245799246,-0.22436140691727927
Self-Storage Facility,98119,MAGNOLIA / QUEEN ANNE,1980,1,3,0,30989,Self-Storage Facility,3,97690,97690,0,1,-1.13613505931334,-0.9464063308773291
Small- and Mid-Sized Office,98119,MAGNOLIA / QUEEN ANNE,1961,1,2,0,20022,Office,32,657386,657386,0,5,-0.9048550999540421,-0.8822245598586579
Distribution Center,98119,MAGNOLIA / QUEEN ANNE,1960,1,2,0,36498,"Distribution Center, Non-Refrigerated Warehouse",15,520012,277628,242384,15,-0.9616213679585021,-0.7217701323119802
Distribution Center,98199,MAGNOLIA / QUEEN ANNE,1968,1,1,0,35946,"Distribution Center, Office",13,469500,300259,169240,11,-0.9824941512322022,-0.7859519033306512
Small- and Mid-Sized Office,98199,MAGNOLIA / QUEEN ANNE,2007,1,4,5680,24472,"Office, Parking",34,845044,844068,976,6,-0.8273102638046913,-0.8661791171039902
Small- and Mid-Sized Office,98199,MAGNOLIA / QUEEN ANNE,1979,1,4,0,22365,Office,34,727386,727386,0,5,-0.8759294025126617,-0.8822245598586579
Small- and Mid-Sized Office,98199,MAGNOLIA / QUEEN ANNE,1994,1,4,0,30172,Office,30,904060,904060,0,6,-0.8029234215161126,-0.8661791171039902
Warehouse,98107,BALLARD,1927,1,4,0,42500,"Non-Refrigerated Warehouse, Retail Store",5,241479,241478,0,2,-1.0767179577505022,-0.9303608881226613
Small- and Mid-Sized Office,98107,BALLARD,1901,1,4,0,23032,"Office, Restaurant, Retail Store",53,1121538,1121537,0,8,-0.7130562382567337,-0.8340882315946546
Small- and Mid-Sized Office,98107,BALLARD,1968,1,2,0,23500,Office,72,1686405,1192984,493421,35,-0.4796394963050162,-0.40086127721862475
Small- and Mid-Sized Office,98107,BALLARD,1966,1,1,0,22282,Office,26,579888,306298,273590,17,-0.9368791528156436,-0.6896792468026447
Self-Storage Facility,98107,BALLARD,1902,1,2,0,24000,Self-Storage Facility,21,502899,201999,300900,17,-0.9686928745344212,-0.6896792468026447
Mixed Use Property,98107,BALLARD,1909,1,3,0,27085,"Multifamily Housing, Office, Other, Strip Mall",74,1995132,981638,1013494,61,-0.3520660135338012,0.016320234402737298
Small- and Mid-Sized Office,98125,NORTH,1931,1,2,0,37500,Office,60,2235766,1614256,621509,44,-0.2526302095608136,-0.2564522924266148
K-12 School,98125,NORTHWEST,1930,1,3,0,23983,K-12 School,48,1164365,618998,545367,33,-0.6953590833378479,-0.43295216272796033
Distribution Center,98106,DELRIDGE,1980,1,1,0,24100,"Distribution Center, Non-Refrigerated Warehouse",34,809871,271509,538362,30,-0.8418446003204866,-0.4810884909919636
Worship Facility,98126,SOUTHWEST,1971,1,1,0,23772,Worship Facility,4,100842,100842,0,1,-1.1348325764799796,-0.9464063308773291
K-12 School,98105,NORTHEAST,2004,3,2,0,31343,K-12 School,75,3846501,1639135,2207366,129,0.4129645514140702,1.1074103417201457
Mixed Use Property,98103,NORTHWEST,1996,1,3,22850,33062,"Office, Parking, Retail Store",74,2450443,2450443,0,17,-0.16392046742333902,-0.6896792468026447
Other,98199,MAGNOLIA / QUEEN ANNE,1957,1,2,0,20294,"Office, Other",86,1735996,536408,1199588,67,-0.4591472925647948,0.11259289093074393
Small- and Mid-Sized Office,98199,MAGNOLIA / QUEEN ANNE,1983,1,4,10849,29722,Office,54,1286817,1286817,0,9,-0.644758947579392,-0.8180427888399868
Small- and Mid-Sized Office,98199,MAGNOLIA / QUEEN ANNE,1983,1,4,15659,26048,"Office, Parking",42,1755788,1755788,0,12,-0.4509687582253691,-0.7699064605759836
Mixed Use Property,98119,MAGNOLIA / QUEEN ANNE,1960,1,2,0,57644,"Non-Refrigerated Warehouse, Office, Other - Services",40,2189735,1591510,598225,43,-0.27165133497401617,-0.2724977351812826
Warehouse,98119,MAGNOLIA / QUEEN ANNE,1955,1,2,0,39497,"Non-Refrigerated Warehouse, Office",43,1700057,1344071,355986,28,-0.47399815885544866,-0.5131793765012992
Other,98112,EAST,1932,1,1,0,33087,Other - Entertainment/Public Assembly,66,3548858,1443141,2105717,122,0.2899712462205732,0.9950922424374714
Small- and Mid-Sized Office,98133,NORTHWEST,1982,1,2,0,27574,Office,44,1211349,1211349,0,8,-0.6759441552151935,-0.8340882315946546
Retail Store,98125,NORTH,1965,1,1,0,24982,Retail Store,13,335245,335245,0,2,-1.037971572803524,-0.9303608881226613
Senior Care Community,98125,NORTH,1998,1,5,0,43661,"Parking, Senior Care Community",90,3936422,2741695,1194726,83,0.45012208912301827,0.3693199750054283
Small- and Mid-Sized Office,98133,NORTHWEST,1987,1,3,27307,48798,Office,32,2472350,2472350,0,17,-0.15486796379693443,-0.6896792468026447
Mixed Use Property,98125,NORTH,1952,1,2,0,32009,"Non-Refrigerated Warehouse, Office, Retail Store",54,1998725,1340993,657732,44,-0.3505812988065601,-0.2564522924266148
Retail Store,98125,NORTH,1966,1,1,0,41615,Retail Store,46,1900006,1900006,0,13,-0.3913743834596405,-0.7538610178213158
Medical Office,98125,NORTH,1988,1,3,0,28841,Medical Office,51,1459200,955324,503875,33,-0.5735261118359996,-0.43295216272796033
Self-Storage Facility,98125,NORTH,1977,2,2,0,33344,"Office, Parking, Self-Storage Facility",4,123767,123767,0,1,-1.1253594105679274,-0.9464063308773291
Other,98125,NORTH,2005,2,1,0,30498,Other - Recreation,80,2436063,1066226,1369837,80,-0.16986263212629688,0.32118364674142497
K-12 School,98106,DELRIDGE,1924,1,2,0,42975,K-12 School,45,959352,173165,786187,43,-0.7800754263314154,-0.2724977351812826
Other,98108,DELRIDGE,1963,1,1,0,23260,"Office, Repair Services (Vehicle, Shoe, Locksmith, etc)",69,1612106,719779,892327,52,-0.5103416447935465,-0.12808875038927264
Small- and Mid-Sized Office,98106,DELRIDGE,1988,1,2,0,30659,"Data Center, Non-Refrigerated Warehouse, Office",72,2619088,1804388,814700,56,-0.09423226392331618,-0.06390697937060157
Other,98109,MAGNOLIA / QUEEN ANNE,1920,1,2,0,27144,Other,37,1012024,458796,553228,33,-0.7583100786795242,-0.43295216272796033
Other,98133,NORTHWEST,1970,5,1,0,23166,Other,150,3475804,3,3475801,185,0.2597835619222503,2.005955135981541
Medical Office,98133,NORTHWEST,1979,1,2,0,34759,"Medical Office, Parking",37,1633105,1633105,0,11,-0.5016643487853816,-0.7859519033306512
Worship Facility,98133,NORTHWEST,1965,1,2,0,44719,"Medical Office, Office, Worship Facility",34,1614026,704681,909345,53,-0.5095482542351544,-0.11204330763460488
Supermarket / Grocery Store,98144,GREATER DUWAMISH,1965,1,1,0,21603,Supermarket/Grocery Store,270,5833800,3900058,1933742,130,1.2341646885506106,1.1234557844748136
Distribution Center,98108,DELRIDGE,1979,1,1,0,42900,Distribution Center,10,436252,436253,0,3,-0.9962330310683595,-0.9143154453679935
Other,98108,DELRIDGE,2005,5,1,0,57952,Adult Education,53,3091388,1474450,1616937,96,0.10093354895616902,0.5779107308161093
Other,98108,DELRIDGE,1971,1,1,0,26232,"Office, Other - Services",118,3094090,902081,2192009,123,0.1020500808774063,1.0111376851921392
Warehouse,98144,DOWNTOWN,1956,1,2,0,25840,Non-Refrigerated Warehouse,12,313528,313528,0,2,-1.0469455638225875,-0.9303608881226613
Small- and Mid-Sized Office,98144,DOWNTOWN,1988,1,1,0,45145,Office,29,1268459,514491,753968,44,-0.6523449183455187,-0.2564522924266148
Small- and Mid-Sized Office,98144,DOWNTOWN,2001,1,5,22095,48237,"Office, Parking",45,1981115,1866104,115011,19,-0.35785817783431306,-0.6575883612933091
K-12 School,98108,GREATER DUWAMISH,1971,1,1,0,50546,K-12 School,22,1155080,1066312,88768,12,-0.6991958704913225,-0.7699064605759836
Retail Store,98133,NORTHWEST,1979,1,2,0,20088,"Office, Parking, Retail Store",17,326779,326778,0,2,-1.0414699292969343,-0.9303608881226613
Other,98134,GREATER DUWAMISH,1989,5,2,0,138907,Other,56,7837692,5130303,2707389,180,2.062221455653506,1.9257279222082022
Small- and Mid-Sized Office,98134,GREATER DUWAMISH,1997,1,2,0,40657,"Office, Parking",70,2826828,2742404,84424,24,-0.008389058402282405,-0.5773611475199703
Warehouse,98134,GREATER DUWAMISH,1900,1,1,0,20200,"Non-Refrigerated Warehouse, Office",13,269017,260808,8209,2,-1.0653385883770632,-0.9303608881226613
Residence Hall,98104,EAST,1904,1,1,0,44086,Residence Hall/Dormitory,83,3652709,1218944,513291,184,0.332884997720356,1.9899096932268732
Small- and Mid-Sized Office,98104,EAST,1970,1,7,20824,33548,"Office, Parking",26,1403820,1403820,0,10,-0.5964104707546231,-0.801997346085319
Small- and Mid-Sized Office,98122,EAST,1956,1,3,0,21282,Office,63,1245924,483381,0,62,-0.6616569268003973,0.03236567715740507
Other,98118,SOUTHEAST,1921,1,2,0,41022,Other,92,3787648,3787648,0,26,0.388645064678105,-0.5452702620106347
Other,98106,DELRIDGE,1966,1,2,0,28109,Other,128,3612527,3326281,286245,38,0.3162808209405053,-0.3527249489546215
Small- and Mid-Sized Office,98125,NORTH,1985,1,3,12990,20590,"Office, Parking",20,409578,409579,0,3,-1.0072553746905222,-0.9143154453679935
Warehouse,98165,NORTH,1977,1,1,0,21936,Non-Refrigerated Warehouse,5,113130,71827,41303,3,-1.1297548769062697,-0.9143154453679935
Other,98125,NORTH,1969,1,1,0,30160,Other,35,1045838,244597,801241,44,-0.7443373139183408,-0.2564522924266148
Other,98106,DELRIDGE,1997,1,1,0,40189,"Office, Other - Utility, Parking",40,1509292,921235,588057,38,-0.5528268827469477,-0.3527249489546215
Small- and Mid-Sized Office,98103,DELRIDGE,1988,1,2,0,66484,"Non-Refrigerated Warehouse, Office, Retail Store",40,3046543,3046543,0,21,0.08240250750247324,-0.6254974757839735
Small- and Mid-Sized Office,98122,EAST,1959,1,3,0,25151,Office,56,1356875,607890,0,62,-0.6158092831315602,0.03236567715740507
Hotel,98104,EAST,1928,1,6,0,35770,Hotel,74,2640980,605147,2035833,112,-0.08518595866064904,0.8346378148907937
Hotel,98101,EAST,1928,1,9,0,48006,Hotel,68,3239754,1533438,1706316,101,0.16224197790742395,0.6581379445894482
Mixed Use Property,98104,DOWNTOWN,1960,1,2,0,29631,"Office, Restaurant, Supermarket/Grocery Store",151,5144392,2737254,2407137,147,0.9492845853839366,1.3962283113041656
Small- and Mid-Sized Office,98104,DOWNTOWN,1989,1,2,0,23472,"Office, Other, Retail Store",72,1625309,864104,761205,46,-0.504885845031853,-0.22436140691727927
Small- and Mid-Sized Office,98134,GREATER DUWAMISH,1973,1,2,0,21315,Office,137,2796425,820533,1975892,111,-0.020952315249572237,0.8185923721361259
Small- and Mid-Sized Office,98119,MAGNOLIA / QUEEN ANNE,1984,1,4,15812,41298,"Office, Parking",59,2190460,1994494,195966,24,-0.2713517473933733,-0.5773611475199703
Small- and Mid-Sized Office,98121,DOWNTOWN,1979,1,3,0,34030,Office,51,1748630,1530330,218300,22,-0.4539266174008748,-0.6094520330293058
Distribution Center,98134,GREATER DUWAMISH,1952,1,1,0,41308,Distribution Center,40,1642472,1054767,587704,39,-0.4977936772434757,-0.3366795061999537
Mixed Use Property,98104,DOWNTOWN,1913,1,3,0,43878,"Multifamily Housing, Non-Refrigerated Warehouse, Office, Retail Store",23,769771,769771,0,5,-0.858414892711906,-0.8822245598586579
Other,98119,MAGNOLIA / QUEEN ANNE,1912,1,3,0,34976,Performing Arts,25,873711,665472,208239,16,-0.8154643642539476,-0.7057246895573124
Warehouse,98119,MAGNOLIA / QUEEN ANNE,1957,1,1,0,38255,Non-Refrigerated Warehouse,26,985402,401825,583577,34,-0.7693109346407303,-0.41690671997329254
Small- and Mid-Sized Office,98103,LAKE UNION,1989,1,3,0,48924,"Office, Parking",73,2282551,1343373,939178,59,-0.2332975130637424,-0.015770651106598248
Small- and Mid-Sized Office,98102,LAKE UNION,1959,1,4,18036,32297,Office,32,1602084,1602084,0,11,-0.5144829782186539,-0.7859519033306512
Small- and Mid-Sized Office,98102,LAKE UNION,1986,1,4,21906,35526,"Office, Parking",74,2520483,2520483,0,18,-0.1349782410119921,-0.6736338040479769
Small- and Mid-Sized Office,98102,LAKE UNION,1969,1,3,7956,17956,"Office, Parking",38,666740,666740,0,5,-0.9009898003273754,-0.8822245598586579
Small- and Mid-Sized Office,98102,LAKE UNION,2000,1,3,21908,35224,"Office, Parking",59,1994968,1994967,0,14,-0.35213378231066383,-0.737815575066648
Worship Facility,98106,DELRIDGE,1957,1,2,0,24224,"Parking, Worship Facility",40,968026,534935,433091,27,-0.7764911191941792,-0.529224819255967
Worship Facility,98106,DELRIDGE,1963,1,1,0,23706,Worship Facility,17,400771,176869,223902,13,-1.010894640652897,-0.7538610178213158
Warehouse,98108,GREATER DUWAMISH,1963,1,1,0,31900,"Non-Refrigerated Warehouse, Office",61,1964681,1964681,0,14,-0.36464910514505083,-0.737815575066648
Other,98136,SOUTHWEST,1917,1,1,0,49066,Social/Meeting Hall,78,3835202,538005,3297197,179,0.4082955306227822,1.9096824794535343
Worship Facility,98136,SOUTHWEST,1952,1,3,0,30740,"Other - Recreation, Worship Facility",42,1686262,612433,1073829,61,-0.4796985873726464,0.016320234402737298
