PrimaryPropertyType,ZipCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,z_SiteEnergyUse(kBtu),z_TotalGHGEmissions
Retail Store,98126,DELRIDGE,1966,1,1,0,64984,Retail Store,45,2944296,2613687,330609,36,0.04015156769834721,-0.384815834463957
K-12 School,98126,DELRIDGE,2010,1,2,0,367884,K-12 School,33,12265516,8205020,4060496,273,3.891905703477545,3.417954098392305
K-12 School,98126,DELRIDGE,1958,1,1,0,46797,K-12 School,44,2075891,797204,1278687,73,-0.3186944363956806,0.20886554745875055
Other,98117,BALLARD,1973,1,3,0,56000,Other,33,1851260,844864,1006396,59,-0.4115174127093195,-0.015770651106598248
K-12 School,98118,SOUTHEAST,2004,1,2,0,67371,K-12 School,32,2128459,1445339,683120,46,-0.29697206406570226,-0.22436140691727927
Self-Storage Facility,98126,SOUTHWEST,1969,1,2,0,52088,Self-Storage Facility,26,1377520,523765,853755,49,-0.6072782685075988,-0.17622507865327597
K-12 School,98103,LAKE UNION,2010,1,3,0,127776,K-12 School,37,4748137,3729930,1018207,80,0.7855424105320196,0.32118364674142497
Other,98109,LAKE UNION,1900,1,1,0,50000,Museum,176,7548807,3797924,3750882,226,1.9428471684341748,2.66381828892292
Warehouse,98109,MAGNOLIA / QUEEN ANNE,1926,1,2,0,50292,"Non-Refrigerated Warehouse, Office, Other - Services, Residence Hall/Dormitory",8,430474,430474,0,3,-0.9986206407800209,-0.9143154453679935
K-12 School,98117,BALLARD,1999,1,2,0,67235,K-12 School,34,2284134,1564728,719406,49,-0.23264337907731805,-0.17622507865327597
Small- and Mid-Sized Office,98103,NORTHWEST,1957,1,2,0,91130,"Data Center, Distribution Center, Office, Other, Parking",100,9472358,7093984,2378373,176,2.737705086135099,1.861546151189531
K-12 School,98136,SOUTHWEST,1991,1,3,0,58118,K-12 School,24,1407277,1158457,248820,21,-0.594981954525268,-0.6254974757839735
Hotel,98133,NORTHWEST,1968,1,4,0,64893,Hotel,96,6197825,2620548,3577277,208,1.3845886458520178,2.3750003193388998
K-12 School,98108,GREATER DUWAMISH,1925,1,1,0,70762,K-12 School,51,3606416,491106,3115310,169,0.31375560755387283,1.7492280519068566
Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,3,0,44558,"Office, Restaurant, Self-Storage Facility",38,1677002,1317637,359365,28,-0.4835250439198919,-0.5131793765012992
Distribution Center,98134,GREATER DUWAMISH,1924,1,2,0,179161,"Data Center, Distribution Center, Office, Other",52,9436408,8772104,664302,96,2.722849674377705,0.5779107308161093
Warehouse,98134,GREATER DUWAMISH,1965,1,2,0,58640,"Non-Refrigerated Warehouse, Office, Other, Other - Services",56,3928695,3928695,0,27,0.446929105349739,-0.529224819255967
Warehouse,98134,GREATER DUWAMISH,1916,1,4,0,79600,Non-Refrigerated Warehouse,30,2411402,2411402,0,17,-0.1800531553348952,-0.6896792468026447
K-12 School,98103,LAKE UNION,1997,1,4,0,241066,K-12 School,32,7791957,3096316,4695641,271,2.0433226446180552,3.3858632128829695
Other,98125,NORTH,2008,1,6,335109,84739,"Fast Food Restaurant, Medical Office, Movie Theater, Parking, Retail Store",108,9134963,6995246,2139716,162,2.598285290588892,1.6369099526241822
K-12 School,98106,DELRIDGE,1999,1,1,0,71714,K-12 School,33,2371358,1944216,427142,36,-0.19660030716836144,-0.384815834463957
Warehouse,98103,LAKE UNION,1991,1,3,8161,67236,"Non-Refrigerated Warehouse, Parking",8,549181,423381,125800,10,-0.9495680298346788,-0.801997346085319
Senior Care Community,98104,DOWNTOWN,1999,1,5,12611,90185,"K-12 School, Medical Office, Office, Restaurant, Retail Store, Senior Care Community",98,10105379,7428816,2676561,194,2.999284713564243,2.150364120773551
K-12 School,98116,SOUTHWEST,2002,1,2,0,208981,K-12 School,39,8164853,4894851,3270002,208,2.197412314233784,2.3750003193388998
K-12 School,98105,NORTHEAST,1928,1,2,0,55653,K-12 School,25,1377627,6138,1371489,73,-0.6072340535129385,0.20886554745875055
Small- and Mid-Sized Office,98125,NORTH,1972,1,5,0,50759,"Office, Restaurant",62,3147042,2558533,588509,49,0.12393113131906308,-0.17622507865327597
Worship Facility,98105,NORTHEAST,1952,1,2,0,56772,Worship Facility,43,2439485,975113,1464372,85,-0.16844857874566255,0.4014108605147638
Worship Facility,98105,NORTHEAST,1952,1,3,0,103000,Worship Facility,47,4854430,2338435,2515995,150,0.8294652556482575,1.444364639568169
K-12 School,98115,NORTHEAST,2006,1,3,0,269297,K-12 School,39,10498344,7203965,3294379,225,3.1616673806364153,2.6477728461682517
K-12 School,98115,NORTHEAST,2001,1,3,0,75174,K-12 School,36,2733846,1589543,1144302,72,-0.046811475537917153,0.19282010470408278
