PrimaryPropertyType,ZipCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions
Mixed Use Property,98101,DOWNTOWN,1910,1,5,0,79920,"Office, Other, Retail Store",38,3009464,3009464,0,21
Small- and Mid-Sized Office,98121,DOWNTOWN,1925,1,4,0,52800,"Office, Restaurant",47,2429021,1831932,597088,44
Warehouse,98104,GREATER DUWAMISH,2001,1,1,0,123061,Non-Refrigerated Warehouse,16,1987935,1987934,0,14
Distribution Center,98108,GREATER DUWAMISH,1963,1,1,0,59090,"Distribution Center, Office",47,2756215,634386,2121829,117
Warehouse,98108,GREATER DUWAMISH,1963,1,1,0,106000,Non-Refrigerated Warehouse,7,763364,763364,0,5
Distribution Center,98108,GREATER DUWAMISH,1960,1,1,0,119661,Distribution Center,6,775729,774965,764,5
Small- and Mid-Sized Office,98125,NORTH,1974,1,5,0,74880,"Office, Parking",72,5134608,5134607,0,36
Small- and Mid-Sized Office,98115,NORTH,1979,1,6,0,88774,"Office, Parking",71,6029122,6029121,0,42
Large Office,98115,NORTH,1983,1,5,0,122250,"Adult Education, Bank Branch, Office, Parking",44,5535626,5535625,0,39
Small- and Mid-Sized Office,98115,NORTH,1979,1,4,0,53730,"Office, Parking",88,4742869,4742869,0,33
Small- and Mid-Sized Office,98101,DELRIDGE,1960,1,3,0,55593,Office,76,4224872,2842549,1382323,93
Warehouse,98109,LAKE UNION,1914,1,5,0,127800,Non-Refrigerated Warehouse,22,2767491,2545590,221900,30
Mixed Use Property,98109,LAKE UNION,1954,1,3,0,67380,"Non-Refrigerated Warehouse, Office, Other, Other - Entertainment/Public Assembly, Parking",42,2755829,1566221,1189608,74
Warehouse,98126,SOUTHWEST,1997,1,4,0,98475,Non-Refrigerated Warehouse,11,1090497,768997,321500,22
Supermarket / Grocery Store,98134,GREATER DUWAMISH,2008,1,1,0,63225,Supermarket/Grocery Store,103,6522552,6522551,0,45
Other,98118,DELRIDGE,1955,1,1,0,113780,"Office, Other - Services",31,3574542,1470885,2103657,122
Retail Store,98133,NORTHWEST,1997,1,1,0,131387,Retail Store,81,8773058,7704514,1068542,110
Warehouse,98133,NORTHWEST,1999,1,3,0,94400,Non-Refrigerated Warehouse,12,784364,680865,103500,10
Supermarket / Grocery Store,98133,NORTHWEST,1984,1,1,0,144776,Wholesale Club/Supercenter,93,13424079,10307295,3116783,237
