PrimaryPropertyType,ZipCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions
Other,98109,DOWNTOWN,1962,1,1,0,36314,Other,50,1832809,1110431,391578,44
Other,98101,DOWNTOWN,1916,1,2,0,25920,"Other - Entertainment/Public Assembly, Restaurant, Retail Store",62,1257775,1257774,0,9
Small- and Mid-Sized Office,98101,DOWNTOWN,1919,1,4,0,47686,"Office, Retail Store",61,2071670,1173976,0,77
Mixed Use Property,98101,DOWNTOWN,1900,1,2,0,49280,"Food Sales, Office, Restaurant, Retail Store, Self-Storage Facility, Social/Meeting Hall",110,5437110,4128496,1308614,98
Low-Rise Multifamily,98101,DOWNTOWN,1942,1,4,0,45500,"Bar/Nightclub, Food Sales, Multifamily Housing, Restaurant, Retail Store, Self-Storage Facility",85,3778355,3778355,0,26
Restaurant,98101,DOWNTOWN,1912,1,2,0,25380,"Food Sales, Office, Restaurant",272,6901554,3202277,3699277,219
Small- and Mid-Sized Office,98101,DOWNTOWN,1915,1,6,0,40715,"Non-Refrigerated Warehouse, Office, Retail Store",70,2827773,2282146,545627,45
Small- and Mid-Sized Office,98101,DOWNTOWN,1910,1,4,0,36160,Office,52,1862177,1862177,0,13
Mixed Use Property,98101,DOWNTOWN,1918,1,1,0,34617,"Food Sales, Manufacturing/Industrial Plant, Office, Other - Entertainment/Public Assembly, Other - Restaurant/Bar, Restaurant, Retail Store, Self-Storage Facility",148,5136604,2805989,2330615,143
Small- and Mid-Sized Office,98121,DOWNTOWN,1909,1,5,0,66900,Office,24,1634178,1574921,59257,14
Mixed Use Property,98121,DOWNTOWN,1910,1,3,0,29340,"Multifamily Housing, Office, Restaurant",80,2160420,839832,1320588,76
Other,98121,DOWNTOWN,1930,1,2,0,22710,Food Service,13,287764,287763,0,2
K-12 School,98102,EAST,1930,1,2,0,45960,K-12 School,91,4167254,834638,3332616,183
Small- and Mid-Sized Office,98109,LAKE UNION,1959,1,2,0,21128,Office,21,436604,436604,0,3
Small- and Mid-Sized Office,98109,LAKE UNION,2013,1,3,0,51552,"Data Center, Office",28,1539066,1539066,0,11
Hotel,98109,LAKE UNION,1959,1,4,0,38520,Hotel,73,2804534,1597279,1207255,75
Worship Facility,98109,LAKE UNION,1960,1,1,0,27338,Worship Facility,21,581289,581289,0,4
Small- and Mid-Sized Office,98119,MAGNOLIA / QUEEN ANNE,1930,1,3,0,45864,Office,56,2590622,480350,2110272,115
K-12 School,98125,NORTHWEST,1999,1,2,0,49252,K-12 School,57,3485866,1738749,1747116,105
K-12 School,98125,NORTH,1950,1,1,0,34005,K-12 School,20,991918,921835,70083,10
K-12 School,98116,SOUTHWEST,1949,1,1,0,41221,K-12 School,37,2246748,1579221,667526,46
Small- and Mid-Sized Office,98102,LAKE UNION,1987,1,3,0,33176,"Office, Parking",43,1426280,862441,563838,36
K-12 School,98118,SOUTHEAST,2000,1,2,0,75605,K-12 School,30,2274874,1520396,754477,51
K-12 School,98118,SOUTHEAST,2008,1,2,0,29525,K-12 School,44,1297813,964739,333074,24
Worship Facility,98108,GREATER DUWAMISH,1977,1,1,0,21948,Worship Facility,15,326001,326001,0,2
Other,98112,EAST,1927,1,3,0,31191,"Other - Recreation, Self-Storage Facility",188,5876439,3123654,2752785,168
Other,98125,NORTH,1947,1,1,0,37377,"Office, Repair Services (Vehicle, Shoe, Locksmith, etc), Retail Store",85,3040978,1078845,1962133,112
Warehouse,98108,GREATER DUWAMISH,1977,1,1,0,29380,"Non-Refrigerated Warehouse, Office, Other",29,856089,856089,0,6
Worship Facility,98122,EAST,1922,1,2,0,22688,Worship Facility,15,331675,228628,103047,7
Other,98118,SOUTHEAST,1962,1,2,0,22364,"Adult Education, Parking",66,1467030,508870,958160,54
Small- and Mid-Sized Office,98118,GREATER DUWAMISH,1982,1,2,0,41262,Office,47,1903456,1903455,0,13
Small- and Mid-Sized Office,98109,LAKE UNION,1953,1,2,0,43183,"Data Center, Office",195,7408342,6523873,884468,92
Worship Facility,98115,NORTH,1908,1,3,0,45680,Worship Facility,46,2077039,509352,1567688,87
Worship Facility,98106,SOUTHWEST,1957,1,1,0,23562,"Office, Worship Facility",16,531737,531737,0,4
Small- and Mid-Sized Office,98107,BALLARD,1999,1,4,0,28844,"Office, Other",44,910719,910718,0,6
K-12 School,98126,DELRIDGE,1988,1,2,0,54528,K-12 School,36,1972079,1972078,0,14
Warehouse,98108,GREATER DUWAMISH,1989,1,1,0,21101,"Non-Refrigerated Warehouse, Office",32,675773,171716,504057,28
Refrigerated Warehouse,98108,GREATER DUWAMISH,1914,1,2,0,45594,Refrigerated Warehouse,30,1351268,1351268,0,9
Other,98108,GREATER DUWAMISH,1950,1,1,0,26660,Manufacturing/Industrial Plant,84,2241280,2241280,0,16
Warehouse,98108,GREATER DUWAMISH,1975,1,1,0,28126,"Non-Refrigerated Warehouse, Office",31,870626,598370,272256,19
Warehouse,98108,GREATER DUWAMISH,1964,1,1,0,35000,Non-Refrigerated Warehouse,11,378714,378714,0,3
Warehouse,98108,GREATER DUWAMISH,1962,1,1,0,26150,Non-Refrigerated Warehouse,46,1208408,815508,392900,27
Small- and Mid-Sized Office,98108,GREATER DUWAMISH,1967,1,2,0,24000,Office,45,1088556,1088556,0,8
K-12 School,98102,EAST,1968,1,5,0,43594,K-12 School,61,2478046,1264732,1213313,73
Distribution Center,98103,LAKE UNION,1912,1,1,0,28080,"Distribution Center, Office",28,794725,513012,281713,19
Senior Care Community,98133,NORTHWEST,1954,1,2,0,51298,Senior Care Community,110,5655578,2094607,3560971,204
Worship Facility,98133,NORTHWEST,1962,1,1,0,22047,"Parking, Worship Facility",12,265775,265775,0,2
Warehouse,98108,GREATER DUWAMISH,1979,1,1,0,31600,Non-Refrigerated Warehouse,106,3363536,1633306,1730229,103
Warehouse,98108,GREATER DUWAMISH,2007,1,1,0,35289,Non-Refrigerated Warehouse,25,876425,490823,385602,24
Warehouse,98108,GREATER DUWAMISH,1981,1,1,0,28920,Non-Refrigerated Warehouse,58,1750419,279044,1471375,80
Warehouse,98108,GREATER DUWAMISH,1978,1,1,0,22176,Non-Refrigerated Warehouse,33,736429,137469,598959,33
Warehouse,98108,GREATER DUWAMISH,1978,1,1,0,31300,Non-Refrigerated Warehouse,12,362874,220913,141961,9
Warehouse,98108,GREATER DUWAMISH,1979,1,1,0,22000,"Non-Refrigerated Warehouse, Parking",32,700628,700628,0,5
Small- and Mid-Sized Office,98125,NORTH,1974,1,3,0,39927,"Office, Parking",90,3568420,3568419,0,25
Other,98115,NORTH,1979,1,1,0,30610,"Office, Other - Recreation",140,4294550,1999987,2294563,136
Medical Office,98115,NORTH,1968,1,2,0,38745,"Medical Office, Parking",44,2890379,2251578,638800,50
Self-Storage Facility,98105,NORTHEAST,1959,1,2,0,20296,Self-Storage Facility,42,855665,855665,0,6
Mixed Use Property,98105,NORTHEAST,1945,1,2,0,22135,"Medical Office, Non-Refrigerated Warehouse, Office, Retail Store",55,1261634,858099,403535,27
Medical Office,98105,NORTHEAST,1967,1,3,0,38378,"Medical Office, Parking",47,1645605,729620,915985,54
Warehouse,98105,NORTHEAST,1980,1,2,0,33576,Non-Refrigerated Warehouse,38,1275232,390124,885108,50
Supermarket / Grocery Store,98105,NORTHEAST,1975,1,1,0,33005,"Parking, Supermarket/Grocery Store",304,10642754,7359683,3283070,226
Other,98104,EAST,1981,1,1,0,20971,"Bank Branch, Medical Office, Parking, Retail Store",33,729397,729397,0,5
Small- and Mid-Sized Office,98199,MAGNOLIA / QUEEN ANNE,1927,1,3,0,23910,"Office, Retail Store",36,873577,678167,195410,15
Worship Facility,98107,BALLARD,1910,1,2,0,21765,Worship Facility,20,431390,119922,311468,17
Worship Facility,98122,CENTRAL,1901,1,2,0,26560,Worship Facility,66,1751484,609983,1141501,65
Warehouse,98103,LAKE UNION,1957,1,2,0,20140,Non-Refrigerated Warehouse,6,116487,116487,0,1
Retail Store,98118,GREATER DUWAMISH,1992,1,2,0,38845,"Parking, Retail Store",178,6917280,3290526,3626753,216
Supermarket / Grocery Store,98118,GREATER DUWAMISH,1953,1,1,0,26092,"Parking, Supermarket/Grocery Store",294,7619445,5004995,2614450,174
K-12 School,98125,NORTH,1955,1,1,0,38582,K-12 School,46,1848878,729477,1119402,65
Small- and Mid-Sized Office,98108,GREATER DUWAMISH,1967,1,1,0,25500,Office,48,1213870,198748,1015122,55
Warehouse,98108,GREATER DUWAMISH,1961,1,1,0,41895,"Non-Refrigerated Warehouse, Office",31,1242312,886222,356089,25
Retail Store,98108,GREATER DUWAMISH,1958,1,2,0,56193,Retail Store,44,2497943,1858950,638992,47
K-12 School,98107,BALLARD,1922,1,3,0,35448,K-12 School,39,1379932,280549,1099383,60
Supermarket / Grocery Store,98107,BALLARD,1966,1,1,0,29214,Supermarket/Grocery Store,320,9336239,6227281,3108958,209
Other,98125,BALLARD,1961,1,1,0,32000,"Office, Other - Recreation",38,1331122,548631,782491,45
Mixed Use Property,98107,BALLARD,1910,1,2,0,31140,"Non-Refrigerated Warehouse, Other, Retail Store",30,935580,234613,700967,39
Warehouse,98107,BALLARD,1975,1,3,0,41478,"Non-Refrigerated Warehouse, Office",73,3035962,1799383,1236579,78
Warehouse,98107,BALLARD,1980,1,1,0,39840,Non-Refrigerated Warehouse,19,752104,752104,0,5
Other,98107,BALLARD,1924,1,2,0,21528,Social/Meeting Hall,14,306911,209914,96997,7
Other,98107,BALLARD,1928,1,2,0,30000,"Parking, Strip Mall",42,1094941,975561,119380,13
Other,98107,BALLARD,1942,1,2,0,30087,Other,173,5274642,5274641,0,37
Worship Facility,98107,BALLARD,1975,1,1,0,40445,Worship Facility,19,786254,271219,515035,29
Retail Store,98107,BALLARD,1996,1,1,0,23500,Retail Store,48,1137968,1021883,116084,13
Retail Store,98134,BALLARD,1967,1,1,0,22420,Retail Store,61,1404254,927422,476832,32
Small- and Mid-Sized Office,98119,MAGNOLIA / QUEEN ANNE,1992,1,3,0,26389,"Fitness Center/Health Club/Gym, Office",46,1208035,1208035,0,8
Small- and Mid-Sized Office,98119,MAGNOLIA / QUEEN ANNE,1982,1,3,0,25859,"Office, Parking",33,858781,665707,193073,15
Warehouse,98199,MAGNOLIA / QUEEN ANNE,1974,1,1,0,25600,"Non-Refrigerated Warehouse, Office",68,1730601,1249609,480992,34
Other,98199,MAGNOLIA / QUEEN ANNE,1965,1,1,0,23169,Manufacturing/Industrial Plant,22,222256,222256,0,2
Warehouse,98199,MAGNOLIA / QUEEN ANNE,1960,1,1,0,56884,Non-Refrigerated Warehouse,24,1388345,785464,602881,37
Retail Store,98117,BALLARD,1989,1,1,0,32810,Retail Store,62,2017968,1316268,701700,46
Self-Storage Facility,98119,MAGNOLIA / QUEEN ANNE,1980,1,3,0,30989,Self-Storage Facility,3,97690,97690,0,1
Small- and Mid-Sized Office,98119,MAGNOLIA / QUEEN ANNE,1961,1,2,0,20022,Office,32,657386,657386,0,5
Distribution Center,98119,MAGNOLIA / QUEEN ANNE,1960,1,2,0,36498,"Distribution Center, Non-Refrigerated Warehouse",15,520012,277628,242384,15
Distribution Center,98199,MAGNOLIA / QUEEN ANNE,1968,1,1,0,35946,"Distribution Center, Office",13,469500,300259,169240,11
Small- and Mid-Sized Office,98199,MAGNOLIA / QUEEN ANNE,1979,1,4,0,22365,Office,34,727386,727386,0,5
Small- and Mid-Sized Office,98199,MAGNOLIA / QUEEN ANNE,1994,1,4,0,30172,Office,30,904060,904060,0,6
Warehouse,98107,BALLARD,1927,1,4,0,42500,"Non-Refrigerated Warehouse, Retail Store",5,241479,241478,0,2
Small- and Mid-Sized Office,98107,BALLARD,1901,1,4,0,23032,"Office, Restaurant, Retail Store",53,1121538,1121537,0,8
Small- and Mid-Sized Office,98107,BALLARD,1968,1,2,0,23500,Office,72,1686405,1192984,493421,35
Small- and Mid-Sized Office,98107,BALLARD,1966,1,1,0,22282,Office,26,579888,306298,273590,17
Self-Storage Facility,98107,BALLARD,1902,1,2,0,24000,Self-Storage Facility,21,502899,201999,300900,17
Mixed Use Property,98107,BALLARD,1909,1,3,0,27085,"Multifamily Housing, Office, Other, Strip Mall",74,1995132,981638,1013494,61
Small- and Mid-Sized Office,98125,NORTH,1931,1,2,0,37500,Office,60,2235766,1614256,621509,44
K-12 School,98125,NORTHWEST,1930,1,3,0,23983,K-12 School,48,1164365,618998,545367,33
Distribution Center,98106,DELRIDGE,1980,1,1,0,24100,"Distribution Center, Non-Refrigerated Warehouse",34,809871,271509,538362,30
Worship Facility,98126,SOUTHWEST,1971,1,1,0,23772,Worship Facility,4,100842,100842,0,1
Other,98199,MAGNOLIA / QUEEN ANNE,1957,1,2,0,20294,"Office, Other",86,1735996,536408,1199588,67
Mixed Use Property,98119,MAGNOLIA / QUEEN ANNE,1960,1,2,0,57644,"Non-Refrigerated Warehouse, Office, Other - Services",40,2189735,1591510,598225,43
Warehouse,98119,MAGNOLIA / QUEEN ANNE,1955,1,2,0,39497,"Non-Refrigerated Warehouse, Office",43,1700057,1344071,355986,28
Other,98112,EAST,1932,1,1,0,33087,Other - Entertainment/Public Assembly,66,3548858,1443141,2105717,122
Small- and Mid-Sized Office,98133,NORTHWEST,1982,1,2,0,27574,Office,44,1211349,1211349,0,8
Retail Store,98125,NORTH,1965,1,1,0,24982,Retail Store,13,335245,335245,0,2
Senior Care Community,98125,NORTH,1998,1,5,0,43661,"Parking, Senior Care Community",90,3936422,2741695,1194726,83
Mixed Use Property,98125,NORTH,1952,1,2,0,32009,"Non-Refrigerated Warehouse, Office, Retail Store",54,1998725,1340993,657732,44
Retail Store,98125,NORTH,1966,1,1,0,41615,Retail Store,46,1900006,1900006,0,13
Medical Office,98125,NORTH,1988,1,3,0,28841,Medical Office,51,1459200,955324,503875,33
K-12 School,98106,DELRIDGE,1924,1,2,0,42975,K-12 School,45,959352,173165,786187,43
Other,98108,DELRIDGE,1963,1,1,0,23260,"Office, Repair Services (Vehicle, Shoe, Locksmith, etc)",69,1612106,719779,892327,52
Small- and Mid-Sized Office,98106,DELRIDGE,1988,1,2,0,30659,"Data Center, Non-Refrigerated Warehouse, Office",72,2619088,1804388,814700,56
Other,98109,MAGNOLIA / QUEEN ANNE,1920,1,2,0,27144,Other,37,1012024,458796,553228,33
Medical Office,98133,NORTHWEST,1979,1,2,0,34759,"Medical Office, Parking",37,1633105,1633105,0,11
Worship Facility,98133,NORTHWEST,1965,1,2,0,44719,"Medical Office, Office, Worship Facility",34,1614026,704681,909345,53
Supermarket / Grocery Store,98144,GREATER DUWAMISH,1965,1,1,0,21603,Supermarket/Grocery Store,270,5833800,3900058,1933742,130
Distribution Center,98108,DELRIDGE,1979,1,1,0,42900,Distribution Center,10,436252,436253,0,3
Other,98108,DELRIDGE,1971,1,1,0,26232,"Office, Other - Services",118,3094090,902081,2192009,123
Warehouse,98144,DOWNTOWN,1956,1,2,0,25840,Non-Refrigerated Warehouse,12,313528,313528,0,2
Small- and Mid-Sized Office,98144,DOWNTOWN,1988,1,1,0,45145,Office,29,1268459,514491,753968,44
K-12 School,98108,GREATER DUWAMISH,1971,1,1,0,50546,K-12 School,22,1155080,1066312,88768,12
Retail Store,98133,NORTHWEST,1979,1,2,0,20088,"Office, Parking, Retail Store",17,326779,326778,0,2
Small- and Mid-Sized Office,98134,GREATER DUWAMISH,1997,1,2,0,40657,"Office, Parking",70,2826828,2742404,84424,24
Warehouse,98134,GREATER DUWAMISH,1900,1,1,0,20200,"Non-Refrigerated Warehouse, Office",13,269017,260808,8209,2
Residence Hall,98104,EAST,1904,1,1,0,44086,Residence Hall/Dormitory,83,3652709,1218944,513291,184
Small- and Mid-Sized Office,98122,EAST,1956,1,3,0,21282,Office,63,1245924,483381,0,62
Other,98118,SOUTHEAST,1921,1,2,0,41022,Other,92,3787648,3787648,0,26
Other,98106,DELRIDGE,1966,1,2,0,28109,Other,128,3612527,3326281,286245,38
Warehouse,98165,NORTH,1977,1,1,0,21936,Non-Refrigerated Warehouse,5,113130,71827,41303,3
Other,98125,NORTH,1969,1,1,0,30160,Other,35,1045838,244597,801241,44
Other,98106,DELRIDGE,1997,1,1,0,40189,"Office, Other - Utility, Parking",40,1509292,921235,588057,38
Small- and Mid-Sized Office,98103,DELRIDGE,1988,1,2,0,66484,"Non-Refrigerated Warehouse, Office, Retail Store",40,3046543,3046543,0,21
Small- and Mid-Sized Office,98122,EAST,1959,1,3,0,25151,Office,56,1356875,607890,0,62
Hotel,98104,EAST,1928,1,6,0,35770,Hotel,74,2640980,605147,2035833,112
Mixed Use Property,98104,DOWNTOWN,1960,1,2,0,29631,"Office, Restaurant, Supermarket/Grocery Store",151,5144392,2737254,2407137,147
Small- and Mid-Sized Office,98104,DOWNTOWN,1989,1,2,0,23472,"Office, Other, Retail Store",72,1625309,864104,761205,46
Small- and Mid-Sized Office,98134,GREATER DUWAMISH,1973,1,2,0,21315,Office,137,2796425,820533,1975892,111
Small- and Mid-Sized Office,98121,DOWNTOWN,1979,1,3,0,34030,Office,51,1748630,1530330,218300,22
Distribution Center,98134,GREATER DUWAMISH,1952,1,1,0,41308,Distribution Center,40,1642472,1054767,587704,39
Mixed Use Property,98104,DOWNTOWN,1913,1,3,0,43878,"Multifamily Housing, Non-Refrigerated Warehouse, Office, Retail Store",23,769771,769771,0,5
Other,98119,MAGNOLIA / QUEEN ANNE,1912,1,3,0,34976,Performing Arts,25,873711,665472,208239,16
Warehouse,98119,MAGNOLIA / QUEEN ANNE,1957,1,1,0,38255,Non-Refrigerated Warehouse,26,985402,401825,583577,34
Small- and Mid-Sized Office,98103,LAKE UNION,1989,1,3,0,48924,"Office, Parking",73,2282551,1343373,939178,59
Worship Facility,98106,DELRIDGE,1957,1,2,0,24224,"Parking, Worship Facility",40,968026,534935,433091,27
Worship Facility,98106,DELRIDGE,1963,1,1,0,23706,Worship Facility,17,400771,176869,223902,13
Warehouse,98108,GREATER DUWAMISH,1963,1,1,0,31900,"Non-Refrigerated Warehouse, Office",61,1964681,1964681,0,14
Other,98136,SOUTHWEST,1917,1,1,0,49066,Social/Meeting Hall,78,3835202,538005,3297197,179
Worship Facility,98136,SOUTHWEST,1952,1,3,0,30740,"Other - Recreation, Worship Facility",42,1686262,612433,1073829,61
Supermarket / Grocery Store,98118,SOUTHEAST,1959,1,1,0,67450,Supermarket/Grocery Store,66,2842820,2061754,781065,56
Warehouse,98119,MAGNOLIA / QUEEN ANNE,1948,1,1,0,46970,Non-Refrigerated Warehouse,19,882896,882896,0,6
Warehouse,98119,MAGNOLIA / QUEEN ANNE,1931,1,1,0,47554,"Non-Refrigerated Warehouse, Office, Other, Parking, Retail Store",33,1035555,844482,191073,16
Mixed Use Property,98119,MAGNOLIA / QUEEN ANNE,1931,1,1,0,24196,"Medical Office, Non-Refrigerated Warehouse, Office, Other",44,1055033,731279,323754,22
Small- and Mid-Sized Office,98119,MAGNOLIA / QUEEN ANNE,1940,1,2,0,20671,Office,31,638507,198321,440186,25
Warehouse,98134,GREATER DUWAMISH,1927,1,1,0,21600,Non-Refrigerated Warehouse,23,499829,264154,235675,14
Worship Facility,98146,SOUTHWEST,1977,1,1,0,35844,Worship Facility,24,866126,866126,0,6
Small- and Mid-Sized Office,98103,LAKE UNION,1916,1,3,0,31774,"Office, Parking, Retail Store",48,1639136,1477827,161309,19
Warehouse,98134,GREATER DUWAMISH,1953,1,1,0,26094,Non-Refrigerated Warehouse,27,709991,709991,0,5
Small- and Mid-Sized Office,98134,GREATER DUWAMISH,1983,1,2,0,23687,Office,46,1084554,1084554,0,8
Small- and Mid-Sized Office,98134,GREATER DUWAMISH,1983,1,2,0,24221,Office,59,1435563,1435563,0,10
Small- and Mid-Sized Office,98101,DOWNTOWN,1900,1,2,0,32027,"Office, Retail Store",125,3999505,1820615,2178890,128
Small- and Mid-Sized Office,98105,DOWNTOWN,1906,1,3,0,32160,"Office, Retail Store",56,2805826,2805826,0,20
Small- and Mid-Sized Office,98134,GREATER DUWAMISH,1914,1,3,0,34425,"Non-Refrigerated Warehouse, Office",40,2018386,1238171,780215,50
K-12 School,98108,GREATER DUWAMISH,1971,1,2,0,52609,K-12 School,34,1801942,1066165,735777,47
Distribution Center,98108,GREATER DUWAMISH,1990,1,1,0,29619,"Distribution Center, Office",43,1280264,553737,726527,42
K-12 School,98144,CENTRAL,1922,1,2,0,21592,K-12 School,69,1431784,472592,959192,54
K-12 School,98115,NORTH,1931,1,2,0,23923,K-12 School,34,805644,504519,301124,20
Small- and Mid-Sized Office,98144,CENTRAL,1907,1,3,0,25200,"Office, Retail Store",73,1748444,1208901,539543,37
Small- and Mid-Sized Office,98133,CENTRAL,1947,1,1,0,45068,Office,6,284857,141784,143073,9
Small- and Mid-Sized Office,98144,CENTRAL,1963,1,2,0,28296,Office,49,1328461,1328461,0,9
Small- and Mid-Sized Office,98122,CENTRAL,1999,1,3,0,31357,"Medical Office, Office, Parking",64,1965076,1774664,190411,22
Distribution Center,98134,GREATER DUWAMISH,1968,1,1,0,160000,Distribution Center,7,1157976,1157977,0,8
Warehouse,98134,GREATER DUWAMISH,1960,1,1,0,53550,Non-Refrigerated Warehouse,86,4590246,1499028,3091218,175
Warehouse,98134,GREATER DUWAMISH,1924,1,1,0,38412,"Non-Refrigerated Warehouse, Office",41,1628540,421294,1207246,67
Self-Storage Facility,98134,GREATER DUWAMISH,1930,1,1,0,25881,Self-Storage Facility,21,545426,545426,0,4
Small- and Mid-Sized Office,98108,GREATER DUWAMISH,1953,1,1,0,24291,Office,27,655422,329487,325936,20
Warehouse,98108,GREATER DUWAMISH,1966,1,1,0,36544,Non-Refrigerated Warehouse,35,1269848,1269847,0,9
Warehouse,98134,GREATER DUWAMISH,1949,1,1,0,20796,Non-Refrigerated Warehouse,64,1324092,416703,907389,51
Distribution Center,98134,GREATER DUWAMISH,1947,1,1,0,21349,"Distribution Center, Office",31,659762,390044,269718,17
Warehouse,98134,GREATER DUWAMISH,1936,1,1,0,38630,Non-Refrigerated Warehouse,11,416886,416886,0,3
Warehouse,98134,GREATER DUWAMISH,1950,1,1,0,20724,"Non-Refrigerated Warehouse, Office",88,1832032,303491,1528541,83
Other,98134,GREATER DUWAMISH,1960,1,1,0,24109,"Manufacturing/Industrial Plant, Parking",197,4747404,4747403,0,33
Refrigerated Warehouse,98134,GREATER DUWAMISH,1955,1,1,0,25375,"Office, Refrigerated Warehouse",158,4069302,4069301,0,28
Warehouse,98134,GREATER DUWAMISH,1985,1,1,0,22803,"Non-Refrigerated Warehouse, Other",34,764094,413650,350444,22
Mixed Use Property,98134,GREATER DUWAMISH,1985,1,1,0,23100,"Office, Other - Public Services",187,4323672,1572644,2751028,157
Refrigerated Warehouse,98134,GREATER DUWAMISH,1951,1,1,0,41550,Refrigerated Warehouse,16,642645,642645,0,4
Other,98108,GREATER DUWAMISH,1994,1,2,0,54170,Other,107,5804784,2816387,2988397,178
K-12 School,98108,GREATER DUWAMISH,2000,1,2,0,64493,K-12 School,31,1989764,1671294,318470,29
K-12 School,98118,SOUTHEAST,1912,1,2,0,42252,K-12 School,52,2203758,318351,1885408,102
Self-Storage Facility,98118,GREATER DUWAMISH,1955,1,1,0,23100,Self-Storage Facility,37,863703,693592,170111,14
Worship Facility,98118,SOUTHEAST,1981,1,3,0,22895,"Parking, Worship Facility",19,440419,226988,213431,13
K-12 School,98178,SOUTHEAST,1961,1,1,0,41428,K-12 School,34,1404702,657517,747185,44
Warehouse,98134,GREATER DUWAMISH,1937,1,1,0,52325,Non-Refrigerated Warehouse,16,808968,540429,268539,18
Other,98134,GREATER DUWAMISH,1920,1,4,0,20600,"Repair Services (Vehicle, Shoe, Locksmith, etc)",13,270838,101274,169565,10
Retail Store,98134,GREATER DUWAMISH,1944,1,1,0,25880,Retail Store,6,162960,162960,0,1
Warehouse,98134,GREATER DUWAMISH,1960,1,1,0,45842,"Non-Refrigerated Warehouse, Office",11,819355,671187,148167,13
Other,98134,GREATER DUWAMISH,1972,1,1,0,31365,Other,21,652992,641398,11594,5
Other,98134,GREATER DUWAMISH,1910,1,1,0,32100,Other,24,758009,314021,443988,26
Warehouse,98134,GREATER DUWAMISH,1966,1,1,0,20520,"Non-Refrigerated Warehouse, Office",57,1167888,458877,709011,41
Warehouse,98134,GREATER DUWAMISH,1945,1,1,0,22972,Non-Refrigerated Warehouse,22,495481,495481,0,3
Warehouse,98134,GREATER DUWAMISH,1953,1,1,0,24990,"Non-Refrigerated Warehouse, Office",16,523614,414213,109401,9
Retail Store,98134,GREATER DUWAMISH,1951,1,2,0,24000,"Office, Retail Store",48,1318947,630883,688064,41
Warehouse,98108,GREATER DUWAMISH,1963,1,1,0,100386,"Non-Refrigerated Warehouse, Other - Services",36,3626432,2095246,1531185,96
Distribution Center,98108,GREATER DUWAMISH,1966,1,1,0,24354,"Distribution Center, Office",30,735908,472280,263628,17
Distribution Center,98108,GREATER DUWAMISH,1959,1,1,0,33600,"Distribution Center, Office",25,847419,642794,204625,15
Other,98108,GREATER DUWAMISH,1974,1,1,0,20819,Manufacturing/Industrial Plant,81,1694930,839797,855134,51
Warehouse,98108,GREATER DUWAMISH,1967,1,1,0,23296,"Non-Refrigerated Warehouse, Office",61,1429856,778664,651191,40
Mixed Use Property,98134,GREATER DUWAMISH,1954,1,1,0,35222,"Non-Refrigerated Warehouse, Parking, Repair Services (Vehicle, Shoe, Locksmith, etc), Retail Store",51,1758135,1147678,610456,40
Refrigerated Warehouse,98108,GREATER DUWAMISH,1957,1,1,0,25520,Refrigerated Warehouse,64,1610795,575346,1035448,59
Other,98134,GREATER DUWAMISH,1952,1,1,0,25460,Other,102,834712,834712,0,6
K-12 School,98106,DELRIDGE,1970,1,1,0,41526,K-12 School,44,1814947,874604,940342,56
Small- and Mid-Sized Office,98115,NORTH,1974,1,2,0,24291,Office,38,920431,920430,0,6
Retail Store,98115,NORTH,1958,1,2,0,20738,Retail Store,25,526753,526753,0,4
Mixed Use Property,98125,NORTH,2000,1,4,0,30948,"Office, Other",39,919746,919746,0,6
Warehouse,98134,GREATER DUWAMISH,1978,1,1,0,21755,"Non-Refrigerated Warehouse, Office",42,844077,592096,251981,18
Other,98134,GREATER DUWAMISH,1960,1,1,0,27933,Other,219,6129780,6129779,0,43
Small- and Mid-Sized Office,98134,GREATER DUWAMISH,1983,1,1,0,23143,"Non-Refrigerated Warehouse, Office",49,1139981,469813,670168,39
Small- and Mid-Sized Office,98134,GREATER DUWAMISH,1962,1,1,0,28800,"Non-Refrigerated Warehouse, Office",58,2107744,786547,1028822,60
Warehouse,98134,GREATER DUWAMISH,1952,1,1,0,39600,Non-Refrigerated Warehouse,10,405050,405050,0,3
Warehouse,98134,GREATER DUWAMISH,1952,1,1,0,39600,Non-Refrigerated Warehouse,12,468397,338683,129714,9
Distribution Center,98134,GREATER DUWAMISH,1937,1,1,0,41248,Distribution Center,27,1108311,918219,190092,16
Other,98134,GREATER DUWAMISH,2009,1,1,0,36400,"Other, Retail Store",43,1567747,804194,763553,46
Other,98116,SOUTHWEST,1920,1,1,0,31332,Other,114,3573328,3573328,0,25
Worship Facility,98116,SOUTHWEST,1948,1,2,0,35864,Worship Facility,34,1228114,467833,760281,44
Worship Facility,98108,GREATER DUWAMISH,1954,1,1,0,20484,Worship Facility,40,822637,115043,707593,38
Other,98122,CENTRAL,1973,1,4,0,45082,Other/Specialty Hospital,94,4262316,2879780,1382537,94
Worship Facility,98103,NORTHWEST,1951,1,2,0,41600,Worship Facility,29,1195165,704075,491090,31
Small- and Mid-Sized Office,98102,LAKE UNION,1960,1,2,0,34110,Office,75,2563986,2563985,0,18
