PrimaryPropertyType,ZipCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,ElectricityByGFA,FloorsByBuildings
Distribution Center,98108,GREATER DUWAMISH,1969,1,1,0,57540,Distribution Center,45,2582687,1310981,1271706,77,22.7838199513382,1
Warehouse,98108,GREATER DUWAMISH,1966,1,1,0,85400,Non-Refrigerated Warehouse,18,1536998,1536998,0,11,17.997634660421546,1
Warehouse,98108,GREATER DUWAMISH,1966,1,1,0,55700,Non-Refrigerated Warehouse,9,519806,519806,0,4,9.332244165170557,1
Small- and Mid-Sized Office,98108,GREATER DUWAMISH,1964,1,1,0,53250,"Office, Parking",34,1794187,1048173,746014,47,19.684,1
Small- and Mid-Sized Office,98109,MAGNOLIA / QUEEN ANNE,1987,1,6,28427,50245,Office,28,2179720,1888502,291217,29,37.58586924072047,6
Warehouse,98133,NORTHWEST,1986,1,3,0,64660,Non-Refrigerated Warehouse,5,325513,237813,87700,6,3.6778997834828333,3
Mixed Use Property,98122,EAST,1927,1,2,19928,55916,"Office, Other, Parking",65,3684188,3406851,277337,38,60.92801702553831,2
Distribution Center,98134,GREATER DUWAMISH,1968,1,1,0,161678,Distribution Center,58,9357230,6332002,3025227,205,39.16427714345799,1
Distribution Center,98134,GREATER DUWAMISH,1980,1,1,0,52613,Distribution Center,18,1061458,527872,533586,32,10.033109687719765,1
Other,98134,GREATER DUWAMISH,1940,1,1,0,56608,"Office, Other",90,5094197,4253264,840932,74,75.13538722442058,1
Large Office,98109,LAKE UNION,2005,1,6,124800,211900,"Office, Parking, Retail Store",42,9058916,7877393,0,55,37.17504955167532,6
Retail Store,98109,LAKE UNION,1996,1,4,159994,104014,Retail Store,100,9937707,7307906,2629800,191,70.25886899840405,4
Small- and Mid-Sized Office,98144,CENTRAL,1914,1,2,0,62220,"Office, Other - Services, Parking",88,5444254,5431426,12827,39,87.29389263902283,2
Small- and Mid-Sized Office,98144,GREATER DUWAMISH,1970,1,1,0,65430,"Office, Other",46,3181046,1705793,1475252,90,26.070502827449182,1
Large Office,98105,NORTHEAST,2006,1,3,42440,59850,"Office, Parking",72,6062770,5913177,149593,49,98.79994987468672,3
Small- and Mid-Sized Office,98102,LAKE UNION,1978,1,4,31210,54175,"Data Center, Office, Parking",91,4855036,4855036,0,34,89.61764651592063,4
Distribution Center,98108,GREATER DUWAMISH,1989,1,2,0,98024,"Distribution Center, Office",20,1988334,1373037,615298,42,14.007151309883294,2
Mixed Use Property,98109,LAKE UNION,1928,1,1,15000,50000,"Office, Other, Parking",87,2603931,1612547,991384,64,32.25094,1
Large Office,98109,LAKE UNION,1990,1,5,66620,77953,"Office, Parking",65,5135040,5135039,0,36,65.87352635562455,5
Other,98125,NORTH,1969,1,2,0,98539,Strip Mall,55,5450442,5266334,184107,46,53.44415916540659,2
Small- and Mid-Sized Office,98144,NORTHWEST,1981,1,6,0,86483,"Office, Parking",74,6361236,6361236,0,44,73.55475642611843,6
Distribution Center,98106,DELRIDGE,1976,1,1,0,51600,"Distribution Center, Office",22,1124543,815508,309035,22,15.804418604651163,1
Warehouse,98106,DELRIDGE,1968,1,1,0,140520,Non-Refrigerated Warehouse,16,2225512,1310524,914988,58,9.326245374323939,1
Large Office,98109,MAGNOLIA / QUEEN ANNE,1986,1,5,62380,91649,"Office, Parking",51,4636396,4060681,575715,59,44.30687732544818,5
Other,98133,NORTHWEST,2005,1,3,91935,69854,"Medical Office, Parking",100,6963616,6947606,16010,49,99.45895725370058,3
Medical Office,98133,NORTHWEST,2005,1,3,0,63909,"Medical Office, Retail Store",75,4765754,4765753,0,33,74.57092115351516,3
Warehouse,98103,NORTHWEST,1948,1,2,0,53472,"Non-Refrigerated Warehouse, Office",17,971156,381025,590131,34,7.125691950927588,2
Warehouse,98108,GREATER DUWAMISH,1980,1,1,0,50417,Non-Refrigerated Warehouse,37,1847401,855017,992384,59,16.95890275105619,1
Retail Store,98125,NORTH,1965,1,2,0,168619,Retail Store,37,6455828,5456882,998946,91,32.362201175431004,2
Large Office,98109,LAKE UNION,2000,1,4,71385,104500,"Office, Parking",62,6486378,6486377,0,45,62.07059330143541,4
Warehouse,98134,GREATER DUWAMISH,1969,1,2,0,104786,Non-Refrigerated Warehouse,10,1028377,666718,361659,24,6.362662951157597,2
Other,98134,GREATER DUWAMISH,2000,1,1,41600,11440,Other,34,1770028,955967,814060,50,83.56354895104896,1
Other,98134,GREATER DUWAMISH,1973,1,1,0,110689,Other,21,2339814,356328,1983486,108,3.21918167116877,1
Small- and Mid-Sized Office,98134,GREATER DUWAMISH,1948,1,1,0,53620,Office,38,2058955,1890584,168371,22,35.25893323386796,1
Small- and Mid-Sized Office,98134,GREATER DUWAMISH,1938,1,1,0,50008,Office,64,3202213,2270837,931375,65,45.409474484082544,1
