PrimaryPropertyType,ZipCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,ElectricityByGFA,FloorsByBuildings
Worship Facility,98199,MAGNOLIA / QUEEN ANNE,1953,1,2,0,31805,Worship Facility,52,1641667,407379,1234288,68,12.808646439239114,2
K-12 School,98199,MAGNOLIA / QUEEN ANNE,1953,1,1,0,20811,K-12 School,61,1267348,505796,761553,44,24.304262169045217,1
Warehouse,98134,GREATER DUWAMISH,1967,1,2,0,22058,"Non-Refrigerated Warehouse, Office",100,1987335,847726,1139608,66,38.43168011605766,2
Other,98112,GREATER DUWAMISH,1907,1,5,0,36000,Other,31,1111294,346376,764918,43,9.621555555555556,5
Distribution Center,98108,GREATER DUWAMISH,1971,1,1,0,28320,"Distribution Center, Parking",150,4236396,3403624,832772,68,120.18446327683615,1
Worship Facility,98115,NORTHEAST,1955,1,1,0,29079,Worship Facility,30,861644,511118,350526,22,17.57687678393342,1
Small- and Mid-Sized Office,98112,EAST,1982,1,3,9616,19232,"Office, Parking",38,726918,726917,0,5,37.7972649750416,3
Small- and Mid-Sized Office,98107,BALLARD,1988,1,2,0,20535,"Distribution Center, Office",84,1835804,1274260,561544,39,62.053080107134164,2
Warehouse,98108,GREATER DUWAMISH,1965,1,1,0,30800,Non-Refrigerated Warehouse,16,485971,485971,0,3,15.77827922077922,1
Mixed Use Property,98104,EAST,1900,1,3,0,22168,"Multifamily Housing, Other - Entertainment/Public Assembly",80,1784385,982475,801910,49,44.319514615662214,3
Warehouse,98134,GREATER DUWAMISH,1922,1,1,0,37400,"Distribution Center, Non-Refrigerated Warehouse, Supermarket/Grocery Store",25,924193,894740,29453,8,23.923529411764704,1
Small- and Mid-Sized Office,98104,DOWNTOWN,2000,1,11,0,68452,"Bank Branch, Office",55,3782378,3782378,0,26,55.255916554666044,11
K-12 School,98105,NORTHEAST,1924,1,3,0,97500,K-12 School,38,3736960,910698,2826262,156,9.340492307692308,3
Small- and Mid-Sized Office,98119,MAGNOLIA / QUEEN ANNE,1982,1,5,0,54015,Office,56,3020002,3020001,0,21,55.91041377395168,5
Large Office,98121,DOWNTOWN,1982,1,24,0,119701,"Office, Retail Store",70,8382140,8382139,0,58,70.02563888355152,24
Other,98125,NORTH,1965,1,1,0,24697,"Library, Other - Services",65,1295686,859009,436677,29,34.78191683200389,1
University,98144,CENTRAL,2013,2,1,0,57468,College/University,52,3543986,2133182,1410803,90,37.11947518619058,2
Retail Store,98101,DOWNTOWN,1991,1,3,0,103000,Retail Store,51,5214622,4243144,971477,81,41.19557281553398,3
Supermarket / Grocery Store,98116,SOUTHWEST,2008,1,1,0,37864,Supermarket/Grocery Store,212,8025696,5407602,2618093,177,142.8164483414325,1
Supermarket / Grocery Store,98122,EAST,1950,1,2,0,66497,Supermarket/Grocery Store,140,9290214,9133009,157203,72,137.34467720348286,2
Retail Store,98109,MAGNOLIA / QUEEN ANNE,2006,1,4,0,34010,Retail Store,93,3560614,3560614,0,25,104.69314907380182,4
Supermarket / Grocery Store,98109,MAGNOLIA / QUEEN ANNE,2006,1,4,0,45980,Supermarket/Grocery Store,181,8305255,5369235,2936020,193,116.77327098738581,4
Retail Store,98122,EAST,1996,1,3,0,45743,Retail Store,117,5313217,4307444,1005772,83,94.1661893623068,3
Other,98122,CENTRAL,1991,1,1,0,45000,"Fitness Center/Health Club/Gym, Swimming Pool",78,3505497,1051644,2453853,138,23.369866666666667,1
Warehouse,98108,GREATER DUWAMISH,1904,1,4,0,72859,Non-Refrigerated Warehouse,21,1498458,1455485,42973,12,19.976735887124445,4
K-12 School,98118,SOUTHEAST,2009,1,2,0,138705,K-12 School,36,4959298,3004396,1954902,125,21.660329476226522,2
Mixed Use Property,98134,GREATER DUWAMISH,2004,1,3,0,21947,"Office, Other, Parking",58,1554599,969591,585008,38,44.178748803936756,3
Medical Office,98115,NORTHEAST,1960,1,0,0,30287,Medical Office,78,2193115,1815405,377710,33,59.940073298775054,0
Small- and Mid-Sized Office,98115,NORTHEAST,1960,1,0,0,21931,Office,124,3947209,1398591,2548619,145,63.772331403036794,0
Small- and Mid-Sized Office,98104,DOWNTOWN,1985,1,6,0,73102,"Office, Parking",46,4307238,4307238,0,30,58.920932395830484,6
Mixed Use Property,98102,EAST,1916,1,2,59401,81422,"Multifamily Housing, Parking, Personal Services (Health/Beauty, Dry Cleaning, etc), Retail Store, Supermarket/Grocery Store",20,2762846,2554939,207907,29,31.378976198079144,2
Small- and Mid-Sized Office,98103,LAKE UNION,1993,1,1,0,26263,Office,62,1634669,1634669,0,11,62.2422800137075,1
Other,98122,CENTRAL,1968,1,1,0,21400,"Fitness Center/Health Club/Gym, Other - Recreation, Swimming Pool",249,5170810,2514599,2656210,159,117.5046261682243,1
Supermarket / Grocery Store,98119,MAGNOLIA / QUEEN ANNE,2003,1,4,0,33997,"Parking, Supermarket/Grocery Store",263,8926736,8224625,702110,95,241.92208136012002,4
Mixed Use Property,98104,DOWNTOWN,1902,1,6,0,74211,"Multifamily Housing, Office, Parking",22,1357120,1357120,0,9,18.2873158965652,6
Warehouse,98178,SOUTHEAST,1988,1,2,0,45700,Non-Refrigerated Warehouse,5,1544194,1441594,102600,16,31.54472647702407,2
